identifier,major_group,group,sub_group,membran_prediction,seq_start,number_cysteines,data_source,species
1385Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_gemmicincta
1397Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_gemmicincta
Boiga_irregularis_Brisbane_GGUD01000006,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Boiga_irregularis
Boiga_irregularis_Sulawesi_GGUE01000001,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Boiga_irregularis
A0A0B8RZX5,Non-standard,Non-standard,,Secreted,MKT,9,TR,Boiga_irregularis
Boiga_irregularis_Brisbane_GGUD01000001,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_irregularis
Boiga_irregularis_Brisbane_GGUD01000007,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_irregularis
1253Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1255Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1263Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1279Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1281Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1289Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_irregularis
1295Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_irregularis
1355Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_irregularis
1359Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_irregularis
1363Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1367Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1371Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1373Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
1381Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_irregularis
A0S864,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,SP,Boiga_irregularis
A0S865,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,SP,Boiga_irregularis
A0A0B8RS19,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RS22,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RS37,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RS42,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RS43,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RS45,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RS48,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RSY0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RSY6,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RSZ0,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RSZ1,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RSZ3,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RVA5,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RVB2,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RVB7,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RVB9,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RVC5,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RYW2,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RYX1,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RYX5,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RYY0,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RYY3,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RYY5,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RYY9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RZW9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RZX0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A0B8RZX6,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RZX8,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_irregularis
A0A0B8RZY0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A193CHL4,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A193CHL6,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A193CHL9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A193CHM0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_irregularis
A0A6G1S2N1,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Boiga_nigriceps
1285Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_nigriceps
1345Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_nigriceps
1347Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_nigriceps
A0A193CHL8,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Boiga_nigriceps
A0A6G1S2M3,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_nigriceps
A0A6G1S2M9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_nigriceps
Boiga_trigonata_GGUG01000004,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Boiga_trigonata
Boiga_trigonata_GGUG01000001,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_trigonata
Boiga_trigonata_GGUG01000002,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_trigonata
Boiga_trigonata_GGUG01000005,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_trigonata
Boiga_trigonata_GGUG01000007,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_trigonata
BOITR_GGUG01000006.1_1_318,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_trigonata
BOITR_GGUG01000007.1_1_330,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_trigonata
1331Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_trigonata
P83490,Plesiotypic,Plesiotypic,,Secreted,,10,SP,Coelognathus_radiatus
CONLI_GJFD01001950.1_49_315,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Conophis_lineatus
A7X6J0,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,MKT,9,SP,Dispholidus_typus
A7X3Q4,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Dispholidus_typus
A7X3T2,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Dispholidus_typus
A7X3U0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Dispholidus_typus
A7X3P2,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Erythrolamprus_poecilogyrus
A7X3P8,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Erythrolamprus_poecilogyrus
A7X3M9,Plesiotypic,Plesiotypic,,Secreted,MKA,10,SP,Erythrolamprus_poecilogyrus
HELLE_OL366256.1_49_246,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Helicops_leopardinus
HELLE_OL366259.1_1_249,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Helicops_leopardinus
HELLE_OL366260.1_1_243,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,7,NCBI,Helicops_leopardinus
HELLE_OL366262.1_1_258,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Helicops_leopardinus
HELLE_OL366263.1_1_237,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Helicops_leopardinus
Helicops_leopardinus_unigene312779,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,7,None,Helicops_leopardinus
Helicops_leopardinus_unigene312780,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Helicops_leopardinus
Helicops_leopardinus_unigene312792,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,None,Helicops_leopardinus
Helicops_leopardinus_unigene312798,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Helicops_leopardinus
Helicops_leopardinus_unigene488093,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,7,None,Helicops_leopardinus
Helicops_leopardinus_unigene488904,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,7,None,Helicops_leopardinus
Helicops_leopardinus_unigene490899,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Helicops_leopardinus
Helicops_leopardinus_unigene57119,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Helicops_leopardinus
HETNA_OL366266.1_1_249,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Heterodon_nasicus
Heterodon_nasicus_unigene14895,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,8,None,Heterodon_nasicus
Heterodon_nasicus_unigene2480,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Heterodon_nasicus
Heterodon_nasicus_unigene384518,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Heterodon_nasicus
Heterodon_nasicus_unigene617783,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,8,None,Heterodon_nasicus
A0A098M253,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Hypsiglena_sp._JMG-2014
A0A098LWV3,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,MKT,9,TR,Opheodrys_aestivus
A0A098LWU4,Plesiotypic,Plesiotypic,,Membrane,MKT,10,TR,Opheodrys_aestivus
A0A098LYB1,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Opheodrys_aestivus
C0HJD3,Plesiotypic,Plesiotypic,,Secreted,,10,SP,Oxybelis_fulgidus
A0A193CHK9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Oxybelis_fulgidus
A0A098LYG6,Non-standard,Non-standard,,Secreted,MKT,10,TR,Pantherophis_guttatus
Pgut_NW_023031289_1_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Pantherophis_guttatus
A0A098LYH6,Plesiotypic,Plesiotypic,,Secreted,MKA,10,TR,Pantherophis_guttatus
A0A098LYI5,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Pantherophis_guttatus
A0A6P9C8Z9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Pantherophis_guttatus
Pgut_NW_023011746_1_mka,Non-standard,Non-standard,Basal genomic 8-cysteines,Secreted,,8,NCBI,Pantherophis_guttatus
A0A182C5S7,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Phalotris_mertensi
A0A182C5Y1,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,7,TR,Phalotris_mertensi
RHASU_OL439256.1_49_252,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Rhabdophis_subminiatus
RHASU_OL439258.1_1_255,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,MKT,9,NCBI,Rhabdophis_subminiatus
Rhabdophis_subminiatus_unigene144234,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Rhabdophis_subminiatus
Rhabdophis_subminiatus_unigene61055,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Rhabdophis_subminiatus
RHASU_OL439257.1_1_264,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Rhabdophis_subminiatus
RHASU_OL439259.1_1_258,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Rhabdophis_subminiatus
RHASU_OL439262.1_1_264,Non-standard,Non-standard,,Secreted,MKT,11,NCBI,Rhabdophis_subminiatus
RHASU_OL439263.1_1_264,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Rhabdophis_subminiatus
Rhabdophis_subminiatus_unigene52075,Plesiotypic,Plesiotypic,,Secreted,,10,None,Rhabdophis_subminiatus
Rhabdophis_subminiatus_unigene76486,Non-standard,Non-standard,,Secreted,,11,None,Rhabdophis_subminiatus
Rhabdophis_subminiatus_unigene76489,Plesiotypic,Plesiotypic,,Secreted,,10,None,Rhabdophis_subminiatus
A0A346CI88,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9,TR,Spilotes_sulphureus
A0A346CI89,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,TR,Spilotes_sulphureus
A0A346CI93,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,TR,Spilotes_sulphureus
A0A346CI94,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
A0A346CI95,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
A0A346CIA0,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,TR,Spilotes_sulphureus
A0A346CIA9,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
A0A346CIB0,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
A0A346CIB1,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,TR,Spilotes_sulphureus
A0A346CIB2,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
A0A346CIB4,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
A0A346CIB5,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
A0A346CIB7,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Spilotes_sulphureus
TANNI_GJFV01002418.1_1_255,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,NCBI,Tantilla_nigriceps
TANNI_GJFV01002407.1_1_318,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
TANNI_GJFV01002408.1_1_327,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
TANNI_GJFV01002409.1_1_333,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
TANNI_GJFV01002410.1_1_321,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
TANNI_GJFV01002419.1_1_255,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
TANNI_GJFV01002420.1_1_258,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
TANNI_GJFV01002421.1_70_255,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
TANNI_GJFV01002438.1_1_327,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Tantilla_nigriceps
A7X3N6,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Telescopus_dhara
A7X3S5,Non-standard,Non-standard,,Secreted,MKT,9,TR,Telescopus_dhara
A7X3V0,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,SP,Telescopus_dhara
A7X3S8,Non-standard,Non-standard,,Secreted,MKT,11,TR,Telescopus_dhara
THAST_JK264299.1_33_284,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnodynastes_strigatus
Tele_NC_045548_1_gene_1_mRNA_14,Non-standard,Non-standard,,Secreted,,9,NCBI,Thamnophis_elegans
THAEL_XM_032222341.1_64_258,Non-standard,Non-standard,,Secreted,MKT,9,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_1_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_10_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_11_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_13_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_16,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_17,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_18,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_2_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_4_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_5_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_6_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_7_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_8_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_9_mka,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Thamnophis_elegans
Tele_rna_XM_032222338_1,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Thamnophis_elegans
Tele_rna_XM_032222748_1_mka,Plesiotypic,Plesiotypic,,Secreted,MKA,10,NCBI,Thamnophis_elegans
THAEL_XM_032222342.1_49_258,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Thamnophis_elegans
THAEL_XM_032222748.1_26_265,Plesiotypic,Plesiotypic,,Secreted,MKA,10,NCBI,Thamnophis_elegans
Tele_NC_045548_1_gene_1_mRNA_15_mka,Non-standard,Non-standard,Basal genomic 8-cysteines,Secreted,,8,NCBI,Thamnophis_elegans
Tele_rna_XM_032222667_1_mka,Non-standard,Non-standard,Basal genomic 8-cysteines,Secreted,MKA,8,NCBI,Thamnophis_elegans
THAEL_XR_004255865.1_31_267,Non-standard,Non-standard,Basal genomic 8-cysteines,Secreted,,8,NCBI,Thamnophis_elegans
THASI_GDKU01029485.1_88_309,Non-standard,Non-standard,,Secreted,,11,NCBI,Thamnophis_sirtalis
Thelotornis_mossambicanus_3FTx_01,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,None,Thelotornis_mossambicanus
Thelotornis_mossambicanus_3FTx_04,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9,None,Thelotornis_mossambicanus
A0A646QBR0,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9,TR,Thelotornis_mossambicanus
A0A646QDR7,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9,TR,Thelotornis_mossambicanus
Thelotornis_mossambicanus_3FTx_05,Plesiotypic,Plesiotypic,,Secreted,,10,None,Thelotornis_mossambicanus
Thelotornis_mossambicanus_3FTx_06,Plesiotypic,Plesiotypic,,Secreted,,10,None,Thelotornis_mossambicanus
Thelotornis_mossambicanus_3FTx_08,Plesiotypic,Plesiotypic,,Secreted,,10,None,Thelotornis_mossambicanus
Thelotornis_mossambicanus_3FTx_09,Plesiotypic,Plesiotypic,,Secreted,,10,None,Thelotornis_mossambicanus
Thelotornis_mossambicanus_3FTx_11,Plesiotypic,Plesiotypic,,Secreted,,10,None,Thelotornis_mossambicanus
Thelotornis_mossambicanus_3FTx_15,Plesiotypic,Plesiotypic,,Secreted,,10,None,Thelotornis_mossambicanus
A7X6I4,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,MKT,9,SP,Thrasops_jacksonii
A7X3T6,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Thrasops_jacksonii
A7X3U4,Plesiotypic,Plesiotypic,,Secreted,MKL,10,TR,Thrasops_jacksonii
A7X3U7,Non-standard,Non-standard,,Secreted,MKT,11,TR,Thrasops_jacksonii
TREVA_GGQZ01007816.1_20_253,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,NCBI,Tretanorhinus_variabilis
A7X3S2,Non-standard,Non-standard,,Secreted,MKT,9,SP,Trimorphodon_biscutatus
A7X3S0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,SP,Trimorphodon_biscutatus
A7X3Q9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Trimorphodon_biscutatus
A0A193CHM1,Plesiotypic,Plesiotypic,Dimeric,Secreted,MKT,11,TR,Trimorphodon_lambda
A0A193CHM4,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Trimorphodon_lambda
A0A193CHM5,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Trimorphodon_lambda
XENME_JZ904769.1_12_257,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,NCBI,Xenodon_merremii
XENME_JZ904948.1_7_246,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,,9,NCBI,Xenodon_merremii
XENME_JZ904898.1_10_261,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Xenodon_merremii
P01385,Long-chain,Long-chain,,Secreted,,10,SP,Acanthophis_antarcticus
P0DKW9,Long-chain,Long-chain,,Secreted,,10,SP,Acanthophis_antarcticus
P34073,Long-chain,Long-chain,,Secreted,,10,SP,Acanthophis_antarcticus
P01434,Short-chain,Short-chain,,Secreted,,9,SP,Acanthophis_antarcticus
R4FI70,Long-chain,Long-chain,,Secreted,MKT,10,TR,Acanthophis_wellsi
R4FI75,Long-chain,Long-chain,,Secreted,MKT,10,TR,Acanthophis_wellsi
R4G2D8,Long-chain,Long-chain,,Secreted,MKT,10,TR,Acanthophis_wellsi
R4G2D9,Long-chain,Long-chain,,Secreted,MKT,10,TR,Acanthophis_wellsi
R4G2P6,Long-chain,Long-chain,,Secreted,MKT,10,TR,Acanthophis_wellsi
R4G7E7,Long-chain,Long-chain,,Secreted,MKT,10,TR,Acanthophis_wellsi
R4G7E8,Long-chain,Long-chain,,Secreted,MKT,10,TR,Acanthophis_wellsi
R4G2D7,Short-chain,Short-chain,,Secreted,MKT,9,TR,Acanthophis_wellsi
R4G2P2,Short-chain,Short-chain,,Secreted,MKT,8,TR,Acanthophis_wellsi
P19958,Short-chain,Short-chain,,Secreted,,9,SP,Aipysurus_laevis
P19959,Short-chain,Short-chain,,Secreted,MKT,9,SP,Aipysurus_laevis
P19960,Short-chain,Short-chain,,Secreted,MKT,9,SP,Aipysurus_laevis
P32879,Short-chain,Short-chain,,Secreted,,9,SP,Aipysurus_laevis
ASPSC_GHOC01000120.1_C395_189,Long-chain,Long-chain,,Secreted,,10,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000728.1_C419_201,Non-standard,Non-standard,,Secreted,,11,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01001452.1_C395_195,Long-chain,Long-chain,,Secreted,,10,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01002482.1_C199_2,Long-chain,Long-chain,,Secreted,,10,NCBI,Aspidelaps_scutatus
P25670,Long-chain,Long-chain,,Secreted,,10,SP,Aspidelaps_scutatus
ASPSC_GHOC01002299.1_C248_45,Non-standard,Non-standard,,Secreted,,10,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000043.1_C425_180,Short-chain,Short-chain,,Secreted,,9,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000196.1_C418_209,Short-chain,Short-chain,P-type cytotoxin,Secreted,,9,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000373.1_C401_153,Short-chain,Short-chain,Cobra+ 8-cysteine clade in plesiotypics,Secreted,,8,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000507.1_C460_218,Short-chain,Short-chain,,Secreted,,8,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000706.1_C513_331,Short-chain,Short-chain,,Secreted,,8,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000786.1_C477_220,Short-chain,Short-chain,,Secreted,,8,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01000868.1_C426_214,Short-chain,Short-chain,,Secreted,,9,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01001195.1_C374_120,Short-chain,Short-chain,,Secreted,,8,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01001197.1_C406_203,Short-chain,Short-chain,P-type cytotoxin,Secreted,,8,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01001435.1_C398_174,Short-chain,Short-chain,P-type cytotoxin,Secreted,,9,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01001478.1_C367_110,Short-chain,Short-chain,,Secreted,,8,NCBI,Aspidelaps_scutatus
ASPSC_GHOC01002308.1_C243_1,Short-chain,Short-chain,,Secreted,,8,NCBI,Aspidelaps_scutatus
P19003,Short-chain,Short-chain,P-type cytotoxin,Secreted,,8,SP,Aspidelaps_scutatus
P19004,Short-chain,Short-chain,P-type cytotoxin,Secreted,,9,SP,Aspidelaps_scutatus
B2BRQ5,Long-chain,Long-chain,,Secreted,MKT,10,SP,Austrelaps_labialis
B2BRQ6,Long-chain,Long-chain,,Secreted,MKT,10,SP,Austrelaps_labialis
B2BRQ7,Long-chain,Long-chain,,Secreted,MKT,10,TR,Austrelaps_labialis
B2BRQ8,Long-chain,Long-chain,,Secreted,MKT,10,TR,Austrelaps_labialis
B2BRQ9,Long-chain,Long-chain,,Secreted,MKT,10,TR,Austrelaps_labialis
