identifier,ec_numbers,localization,Gene3D
P30556,,Cell membrane,1.20.1070.10
P30559,,Cell membrane,1.20.1070.10
P30566,other,,other
P30613,other,,other
P30622,,other,other
P30626,,other,other
P30711,other,Cytoplasm,other
P30740,,other,other
P30793,other,"Cytoplasm, Nucleus",other
P30825,,Cell membrane,other
P30838,other,Cytoplasm,
P30872,,Cell membrane,1.20.1070.10
P30874,,other,1.20.1070.10
P30876,other,Nucleus,other
P30926,,other,other
P30939,,Cell membrane,1.20.1070.10
P30968,,Cell membrane,1.20.1070.10
P30989,,other,1.20.1070.10
P30990,,other,
P31025,,Secreted,other
P31040,other,Mitochondrion inner membrane,other
P31146,,other,2.130.10.10
P31150,,other,other
P31151,,other,other
P31152,2.7.11,"Cytoplasm, Nucleus",1.10.510.10
P31153,other,,other
P31249,,Nucleus,1.10.10.60
P31260,,Nucleus,1.10.10.60
P31268,,Nucleus,1.10.10.60
P31269,,"Nucleus, Cytoplasm",1.10.10.60
P31270,,Nucleus,1.10.10.60
P31271,,Nucleus,1.10.10.60
P31273,,Nucleus,1.10.10.60
P31274,,Nucleus,1.10.10.60
P31276,,Nucleus,1.10.10.60
P31314,,Nucleus,1.10.10.60
P31321,,Cell membrane,other
P31323,,other,other
P31327,other,other,other
P31350,other,"Cytoplasm, Nucleus",other
P31358,,Cell membrane,
P31371,,Secreted,other
P31391,,Cell membrane,1.20.1070.10
P31415,,other,other
P31431,,other,
P31483,,other,3.30.70.330
P31512,other,other,other
P31513,other,other,other
P31629,,Nucleus,3.30.160.60
P31639,,other,other
P31641,,Cell membrane,
P31644,,other,other
P31645,,other,
P31689,,other,other
P31749,2.7.11,other,other
P31751,2.7.11,other,other
P31785,,other,2.60.40.10
P31930,,Mitochondrion inner membrane,other
P31937,other,Mitochondrion,other
P31939,other,other,other
P31941,other,"Nucleus, Cytoplasm",other
P31942,,Nucleus,3.30.70.330
P31943,,other,3.30.70.330
P31944,other,"Cytoplasm, Nucleus",other
P31946,,other,other
P31947,,other,other
P31948,,other,other
P31949,,"Cytoplasm, Nucleus",other
P31994,,Cell membrane,2.60.40.10
P31995,,other,2.60.40.10
P31997,,other,2.60.40.10
P32004,,other,2.60.40.10
P32019,3.1.3,other,other
P32119,other,Cytoplasm,other
P32121,,other,other
P32189,other,other,other
P32238,,Cell membrane,other
P32239,,Cell membrane,1.20.1070.10
P32241,,Cell membrane,other
P32242,,Nucleus,1.10.10.60
P32243,,Nucleus,1.10.10.60
P32245,,Cell membrane,1.20.1070.10
P32246,,Cell membrane,1.20.1070.10
P32247,,Cell membrane,1.20.1070.10
P32248,,Cell membrane,1.20.1070.10
P32249,,Cell membrane,1.20.1070.10
P32297,,other,other
P32298,2.7.11,other,other
P32302,,Cell membrane,1.20.1070.10
P32320,other,,other
P32321,other,,other
P32322,other,Mitochondrion,other
P32418,,Cell membrane,other
P32455,other,other,other
P32456,3.6.5,other,other
P32519,,Nucleus,other
P32745,,Cell membrane,1.20.1070.10
P32754,other,other,other
P32780,,Nucleus,other
P32856,,Membrane,other
P32881,,Secreted,other
P32926,,other,other
P32927,,Membrane,2.60.40.10
P32929,other,Cytoplasm,other
P32942,,Membrane,2.60.40.10
P32969,,Cytoplasm,other
P32970,,Cell membrane,other
P32971,,Membrane,other
P33032,,Cell membrane,1.20.1070.10
P33076,2.3.1,other,other
P33121,other,other,other
P33151,,other,other
P33176,,other,other
P33240,,Nucleus,other
P33241,,Cell membrane,
P33260,other,other,other
P33316,other,other,other
P33402,other,Cytoplasm,other
P33527,other,Cell membrane,other
P33681,,Cell membrane,2.60.40.10
P33763,,,other
P33764,,Cytoplasm,other
P33778,,other,other
P33897,other,other,3.40.50.300
P33908,other,other,other
P33947,,other,
P33981,other,,other
P33991,3.6.4,other,other
P33992,3.6.4,other,other
P33993,3.6.4,other,other
P34059,other,other,other
P34096,other,Secreted,other
P34130,,Secreted,other
P34741,,Membrane,
P34810,,other,other
P34896,other,Cytoplasm,other
P34897,other,other,other
P34903,,other,other
P34910,,Membrane,
P34913,other,other,other
P34925,other,other,other
P34931,,,other
P34932,,Cytoplasm,other
P34947,2.7.11,other,other
P34949,other,Cytoplasm,other
P34969,,Cell membrane,1.20.1070.10
P34972,,other,1.20.1070.10
P34981,,Cell membrane,1.20.1070.10
P34982,,Cell membrane,1.20.1070.10
P35030,3.4.21,Secreted,other
P35052,,other,
P35070,,other,other
P35080,,other,other
P35125,3.4.19,other,other
P35212,,other,other
P35218,other,Mitochondrion,other
P35219,,,other
P35221,,other,other
P35222,,other,other
P35226,,"Nucleus, Cytoplasm",other
P35227,,Nucleus,other
P35228,other,other,other
P35232,,other,other
P35236,3.1.3,other,other
P35237,,Cytoplasm,other
P35240,,other,other
P35241,,other,other
P35243,,other,other
P35244,,Nucleus,other
P35247,,other,other
P35249,,Nucleus,other
P35250,,Nucleus,other
P35251,,Nucleus,other
P35268,,Cytoplasm,other
P35269,,Nucleus,other
P35270,other,Cytoplasm,other
P35318,,Secreted,
P35321,,Cytoplasm,
P35326,,other,
P35346,,Cell membrane,1.20.1070.10
P35348,,other,1.20.1070.10
P35354,other,other,other
P35367,,Cell membrane,1.20.1070.10
P35368,,other,1.20.1070.10
P35372,,other,1.20.1070.10
P35398,,Nucleus,other
P35408,,Cell membrane,1.20.1070.10
P35414,,Cell membrane,1.20.1070.10
P35442,,,other
P35443,,other,other
P35452,,Nucleus,1.10.10.60
P35453,,Nucleus,1.10.10.60
P35475,other,other,other
P35498,,Cell membrane,other
P35499,,Cell membrane,other
P35503,2.4.1,Endoplasmic reticulum membrane,other
P35504,2.4.1,Endoplasmic reticulum membrane,other
P35520,other,"Cytoplasm, Nucleus",other
P35523,,other,other
P35527,,,other
P35548,,Nucleus,1.10.10.60
P35557,other,other,other
P35558,other,other,other
P35568,,,other
P35573,2.4.1,Cytoplasm,other
P35575,3.1.3,Endoplasmic reticulum membrane,other
P35579,,other,other
P35580,,other,other
P35590,other,Cell membrane,other
P35606,,other,other
P35609,,other,other
P35610,2.3.1,Endoplasmic reticulum membrane,
P35611,,other,other
P35612,,other,other
P35613,,other,2.60.40.10
P35625,,other,other
P35626,2.7.11,other,other
P35637,,Nucleus,other
P35638,,"Cytoplasm, Nucleus",other
P35658,,other,2.130.10.10
P35659,,Nucleus,1.10.10.60
P35670,other,other,other
P35680,,Nucleus,other
P35711,,Nucleus,other
P35712,,"Nucleus, Cytoplasm",other
P35713,,Nucleus,other
P35716,,Nucleus,other
P35749,,other,other
P35754,,Cytoplasm,other
P35789,,Nucleus,"6.10.140.140, 3.30.160.60"
P35790,other,other,other
P35813,3.1.3,other,other
P35858,,other,3.80.10.10
P35869,,"Cytoplasm, Nucleus",other
P35900,,Cytoplasm,other
P35908,,Cytoplasm,other
P35913,other,other,other
P35914,other,other,other
P35916,other,other,other
P35968,other,other,other
P35998,,Cytoplasm,other
P36021,,other,other
P36222,,other,other
P36268,,other,other
P36269,3.4.19,Membrane,other
P36382,,other,other
P36383,,other,other
P36402,,Nucleus,other
P36404,,other,3.40.50.300
P36405,,other,3.40.50.300
P36406,2.3.2,other,other
P36507,other,other,1.10.510.10
P36508,,Nucleus,3.30.160.60
P36542,,Mitochondrion inner membrane,other
P36543,,other,other
P36544,,other,other
P36551,other,other,other
P36575,,other,other
P36578,,Cytoplasm,other
P36776,3.4.21,other,other
P36871,other,Cytoplasm,other
P36873,3.1.3,other,other
P36888,other,other,other
P36894,2.7.11,other,other
P36896,2.7.11,Cell membrane,other
P36897,2.7.11,other,other
P36941,,Membrane,other
P36952,,other,other
P36954,,other,other
P36955,,other,other
P36956,,other,other
P36957,2.3.1,other,other
P36959,other,,other
P36980,,Secreted,other
P37023,2.7.11,Cell membrane,other
P37058,other,other,other
P37059,other,Endoplasmic reticulum membrane,other
P37088,,other,other
P37108,,Cytoplasm,other
P37173,2.7.11,other,other
P37198,,other,other
P37231,,"Nucleus, Cytoplasm",other
P37235,,Membrane,other
P37268,other,Endoplasmic reticulum membrane,other
P37275,,Nucleus,other
P37287,2.4.1,Endoplasmic reticulum membrane,other
P37288,,Cell membrane,1.20.1070.10
P37802,,,other
P37837,other,other,other
P37840,,other,other
P38117,,other,other
P38159,,Nucleus,3.30.70.330
P38398,2.3.2,other,other
P38405,,,other
P38432,,other,
P38435,other,Endoplasmic reticulum membrane,other
P38484,,other,2.60.40.10
P38567,other,Cell membrane,other
P38570,,Membrane,other
P38571,other,other,other
P38606,other,other,other
P38646,,other,other
P38919,3.6.4,other,3.40.50.300
P38935,3.6.4,other,other
P38936,,"Cytoplasm, Nucleus",other
P39019,,other,other
P39023,,other,other
P39059,,other,other
P39060,,other,other
P39086,,other,other
P39210,,Mitochondrion inner membrane,
P39656,,Endoplasmic reticulum membrane,
P39687,,other,3.80.10.10
P39748,other,other,other
P39877,other,other,other
P39880,,Nucleus,other
P39900,other,other,other
P39905,,Secreted,other
P40121,,other,other
P40123,,Cell membrane,other
P40126,other,other,other
P40145,other,other,other
P40189,,other,2.60.40.10
P40197,,Membrane,3.80.10.10
P40198,,Membrane,2.60.40.10
P40200,,Membrane,2.60.40.10
P40222,,,
P40225,,Secreted,other
P40227,,Cytoplasm,other
P40238,,other,2.60.40.10
P40259,,Cell membrane,2.60.40.10
P40261,2.1.1,Cytoplasm,other
P40305,,other,other
P40306,other,"Cytoplasm, Nucleus",other
P40337,,other,other
P40394,other,Cytoplasm,other
P40424,,Nucleus,1.10.10.60
P40425,,Nucleus,1.10.10.60
P40426,,Nucleus,1.10.10.60
P40429,,Cytoplasm,other
P40616,,other,3.40.50.300
P40617,,other,3.40.50.300
P40692,,other,other
P40763,,"Cytoplasm, Nucleus",other
P40818,3.4.19,other,other
P40855,,other,other
P40879,,other,other
P40925,other,other,other
P40926,other,other,other
P40933,,other,other
P40937,,Nucleus,other
P40938,,Nucleus,other
P40939,2.3.1,other,other
P40967,,other,2.60.40.10
P41002,,other,other
P41091,3.6.5,other,other
P41134,,"Cytoplasm, Nucleus",other
P41143,,Cell membrane,1.20.1070.10
P41145,,Cell membrane,1.20.1070.10
P41146,,other,1.20.1070.10
P41159,,Secreted,other
P41161,,Nucleus,other
P41162,,Nucleus,other
P41180,,Cell membrane,other
P41181,,other,other
P41182,,Nucleus,3.30.160.60
P41208,,other,other
P41212,,Nucleus,other
P41214,,Cytoplasm,other
P41217,,Cell membrane,2.60.40.10
P41218,,"Nucleus, Cytoplasm",other
P41219,,other,other
P41220,,other,other
P41221,,other,other
P41222,other,other,other
P41223,,Nucleus,
P41225,,Nucleus,other
P41226,other,"Cytoplasm, Nucleus",other
P41227,2.3.1,"Cytoplasm, Nucleus",other
P41229,other,Nucleus,other
P41231,,Cell membrane,1.20.1070.10
P41235,,Nucleus,other
P41236,,,other
P41238,other,"Cytoplasm, Nucleus",other
P41240,other,other,other
P41247,other,Mitochondrion,other
P41250,other,other,other
P41252,other,other,other
P41271,,Secreted,other
P41273,,Membrane,other
P41279,2.7.11,Cytoplasm,1.10.510.10
P41439,,Secreted,
P41440,,other,other
P41567,,Cytoplasm,other
P41586,,Cell membrane,other
P41587,,Cell membrane,other
P41594,,Cell membrane,other
P41595,,other,1.20.1070.10
P41597,,Cell membrane,1.20.1070.10
P41732,,Membrane,other
P41743,2.7.11,other,other
P41968,,Cell membrane,1.20.1070.10
P41970,,Nucleus,other
P42025,,other,other
P42081,,Cell membrane,2.60.40.10
P42126,other,other,other
P42127,,Secreted,other
P42166,,other,other
P42224,,"Cytoplasm, Nucleus",other
P42226,,"Cytoplasm, Nucleus",other
P42229,,"Cytoplasm, Nucleus",other
P42261,,other,other
P42262,,other,other
P42263,,other,other
P42285,3.6.4,other,other
P42330,other,Cytoplasm,other
P42331,,,other
P42336,other,,other
P42338,other,"Cytoplasm, Nucleus",other
P42345,2.7.11,other,other
P42356,other,other,other
P42566,,other,other
P42568,,other,other
P42574,other,Cytoplasm,other
P42575,other,,other
P42658,,Cell membrane,other
P42677,,other,other
P42679,other,other,other
P42680,other,other,other
P42681,other,other,other
P42684,other,other,other
P42685,other,"Cytoplasm, Nucleus",other
P42694,3.6.4,Nucleus,other
P42695,,Nucleus,other
P42701,,Membrane,2.60.40.10
P42702,,other,2.60.40.10
P42704,,other,other
P42765,2.3.1,Mitochondrion,other
P42766,,Cytoplasm,other
P42768,,other,other
P42771,,"Cytoplasm, Nucleus",other
P42772,,Cytoplasm,other
P42773,,,other
P42785,other,other,other
P42830,,Secreted,other
P42857,,other,
P42892,other,Cell membrane,other
P42898,other,,other
P43003,,Cell membrane,other
P43004,,Cell membrane,other
P43005,,other,other
P43007,,other,other
P43034,,other,other
P43080,,other,other
P43088,,Cell membrane,1.20.1070.10
P43115,,Cell membrane,1.20.1070.10
P43119,,Cell membrane,1.20.1070.10
P43121,,Membrane,2.60.40.10
P43146,,Membrane,2.60.40.10
P43155,2.3.1,other,other
P43166,other,Cytoplasm,other
P43220,,Cell membrane,other
P43234,other,other,other
P43235,other,other,other
P43243,,other,3.30.70.330
P43246,,other,other
P43250,2.7.11,Membrane,other
P43251,other,other,other
P43268,,Nucleus,other
P43304,other,Mitochondrion,other
P43307,,Endoplasmic reticulum membrane,
P43320,,,other
P43351,,Nucleus,other
P43353,other,Cell membrane,
P43354,,"Cytoplasm, Nucleus",other
P43355,,"Cytoplasm, Nucleus",other
P43356,,other,other
P43357,,,other
P43358,,,other
P43360,,,other
P43361,,,other
P43364,,"Nucleus, Cytoplasm",other
P43365,,,other
P43378,3.1.3,Cytoplasm,other
P43403,other,other,other
P43405,other,other,other
P43487,,,other
P43489,,Membrane,other
P43490,other,other,other
P43628,,Cell membrane,2.60.40.10
P43629,,Cell membrane,2.60.40.10
P43630,,Cell membrane,2.60.40.10
P43631,,Cell membrane,2.60.40.10
P43632,,Cell membrane,2.60.40.10
P43652,,Secreted,other
P43657,,Cell membrane,1.20.1070.10
P43681,,other,other
P43686,,"Cytoplasm, Nucleus",other
P43694,,Nucleus,other
P43699,,Nucleus,1.10.10.60
P43897,,Mitochondrion,other
P45378,,,other
P45379,,,other
P45381,other,"Cytoplasm, Nucleus",other
P45452,other,other,other
P45844,other,other,3.40.50.300
P45877,other,Cytoplasm,other
P45880,,other,other
P45954,other,other,other
P45973,,other,other
P45974,3.4.19,,other
P45983,2.7.11,other,1.10.510.10
P45984,2.7.11,"Cytoplasm, Nucleus",1.10.510.10
P45985,other,"Cytoplasm, Nucleus",1.10.510.10
P46019,,Cell membrane,other
P46020,,Cell membrane,other
P46059,,other,other
P46060,,other,other
P46063,other,Nucleus,other
P46087,2.1.1,other,other
P46089,,Cell membrane,1.20.1070.10
P46091,,Cell membrane,1.20.1070.10
P46092,,Cell membrane,1.20.1070.10
P46093,,Cell membrane,1.20.1070.10
P46094,,Cell membrane,1.20.1070.10
P46098,,other,other
P46108,,other,other
P46109,,,other
P46199,,Mitochondrion,other
P46379,,other,
P46439,other,Cytoplasm,other
P46459,3.6.4,Cytoplasm,other
P46527,,other,other
P46531,,other,other
P46597,2.1.1,,other
P46663,,Cell membrane,1.20.1070.10
P46695,,Membrane,
P46721,,other,other
P46734,other,,1.10.510.10
P46736,3.4.19,other,other
P46776,,Cytoplasm,other
P46777,,other,other
P46778,,other,other
P46779,,Cytoplasm,other
P46781,,other,other
P46782,,other,other
P46783,,other,other
P46821,,other,
P46926,other,Cytoplasm,other
P46934,2.3.2,other,other
P46937,,other,other
P46940,,other,other
P46952,other,other,other
P46976,2.4.1,,
P46977,other,other,other
P47211,,Cell membrane,1.20.1070.10
P47224,,,
P47710,,Secreted,
P47712,other,other,other
P47736,,other,other
P47755,,,other
P47804,,Membrane,1.20.1070.10
P47813,,Cytoplasm,other
P47869,,other,other
P47870,,other,other
P47871,,Cell membrane,other
P47872,,Cell membrane,other
P47895,other,Cytoplasm,
P47897,other,other,other
P47900,,Cell membrane,1.20.1070.10
P47901,,Cell membrane,1.20.1070.10
P47902,,Nucleus,1.10.10.60
P47914,,Cytoplasm,other
P47928,,Nucleus,other
P47929,,other,other
P47974,,"Nucleus, Cytoplasm",other
P47985,other,Mitochondrion inner membrane,other
P47989,other,other,other
P47992,,Secreted,other
P48023,,other,other
P48029,,other,
P48039,,Cell membrane,1.20.1070.10
P48047,,other,other
P48048,,Cell membrane,other
P48050,,other,other
P48051,,Membrane,other
P48052,other,Secreted,other
P48058,,other,other
P48059,,other,other
P48061,,Secreted,other
P48065,,other,
P48066,,Cell membrane,
P48067,,Cell membrane,
P48145,,Cell membrane,1.20.1070.10
P48146,,Cell membrane,1.20.1070.10
P48147,3.4.21,Cytoplasm,other
P48163,other,Cytoplasm,other
P48165,,other,other
P48167,,other,other
P48169,,other,other
P48200,,Cytoplasm,other
P48201,,other,other
P48230,,Membrane,
P48304,,Secreted,other
P48307,,Secreted,other
P48357,,other,2.60.40.10
P48378,,"Nucleus, Cytoplasm",other
P48380,,Nucleus,other
P48382,,Nucleus,other
P48426,other,other,other
P48431,,other,other
P48436,,Nucleus,other
P48443,,"Nucleus, Cytoplasm",other
P48444,,other,other
P48448,other,other,
P48449,other,Endoplasmic reticulum membrane,other
P48454,3.1.3,Mitochondrion,other
P48506,other,,other
P48507,,,other
P48509,,Cell membrane,other
P48539,,,
P48544,,Membrane,other
P48546,,Cell membrane,other
P48547,,other,other
P48549,,Membrane,other
P48551,,other,2.60.40.10
P48552,,Nucleus,
P48553,,other,
P48556,,,other
P48594,,Cytoplasm,other
P48595,,"Nucleus, Cytoplasm",other
P48634,,"Cytoplasm, Nucleus",
P48637,other,,other
P48643,,other,other
P48645,,Secreted,
P48651,other,Endoplasmic reticulum membrane,
P48664,,Cell membrane,other
P48668,,,other
P48681,,,other
P48723,,other,other
P48728,other,Mitochondrion,other
P48729,2.7.11,other,1.10.510.10
P48730,2.7.11,other,1.10.510.10
P48735,other,Mitochondrion,other
P48736,other,other,other
P48739,,other,other
P48740,3.4.21,Secreted,other
P48742,,Nucleus,other
P48745,,other,other
P48751,,other,other
P48764,,other,other
P48775,other,,other
P48788,,,other
P48960,,other,other
P48995,,Membrane,other
P49005,,Nucleus,other
P49006,,other,
P49019,,Cell membrane,1.20.1070.10
P49023,,other,other
P49069,,Endoplasmic reticulum membrane,
P49116,,Nucleus,other
P49137,2.7.11,"Cytoplasm, Nucleus",other
P49146,,Cell membrane,1.20.1070.10
P49184,other,other,other
P49189,other,other,
P49190,,Cell membrane,other
P49207,,other,other
P49221,2.3.2,,other
P49238,,Cell membrane,1.20.1070.10
P49247,other,,other
P49257,,other,other
P49279,,other,
P49281,,other,
P49286,,Cell membrane,1.20.1070.10
P49321,,"Cytoplasm, Nucleus",other
P49326,other,other,other
P49327,2.3.1,other,other
P49335,,Nucleus,other
P49336,2.7.11,Nucleus,1.10.510.10
P49354,other,,other
P49356,other,,other
P49366,other,,other
P49368,,Cytoplasm,other
P49407,,other,other
P49418,,other,other
P49419,other,other,
P49427,2.3.2,"Cytoplasm, Nucleus",other
P49447,other,other,other
P49448,other,other,other
P49450,,other,other
P49458,,Cytoplasm,other
P49459,2.3.2,other,other
P49585,other,other,other
P49588,other,Cytoplasm,other
P49589,other,Cytoplasm,other
P49590,other,Mitochondrion,other
P49591,other,"Cytoplasm, Nucleus",other
P49593,3.1.3,,other
P49619,other,other,other
P49638,,Cytoplasm,other
P49639,,Nucleus,1.10.10.60
P49640,,Nucleus,1.10.10.60
P49641,other,other,other
P49642,other,,other
P49643,,,other
P49662,other,other,other
P49674,2.7.11,"Cytoplasm, Nucleus",1.10.510.10
P49675,,Mitochondrion,other
P49682,,other,1.20.1070.10
P49683,,Cell membrane,1.20.1070.10
P49685,,Cell membrane,1.20.1070.10
P49703,,other,3.40.50.300
P49711,,other,3.30.160.60
P49715,,other,other
P49716,,Nucleus,other
P49720,,"Cytoplasm, Nucleus",other
P49721,,"Cytoplasm, Nucleus",other
P49736,3.6.4,other,other
P49746,,,other
P49747,,other,other
P49748,other,other,other
P49753,other,Mitochondrion,other
P49754,,other,other
P49755,,other,
P49756,,other,other
P49757,,other,other
P49758,,other,other
P49759,other,Nucleus,1.10.510.10
P49760,other,other,1.10.510.10
P49763,,Secreted,other
P49765,,Secreted,other
P49767,,Secreted,other
P49768,other,other,other
P49770,,other,
P49771,,other,other
P49773,other,"Cytoplasm, Nucleus",other
P49788,,other,other
P49789,other,other,other
P49790,,other,other
P49795,,Membrane,other
P49796,,other,other
P49798,,,other
P49802,,other,other
P49810,other,other,other
P49815,,other,other
P49821,other,Mitochondrion inner membrane,other
P49840,2.7.11,,1.10.510.10
P49841,2.7.11,other,1.10.510.10
P49848,,other,other
P49862,3.4.21,Secreted,other
P49863,3.4.21,other,other
P49888,other,other,3.40.50.300
P49901,,other,
P49902,3.1.3,other,other
P49903,other,other,other
P49910,,Nucleus,other
P49913,,other,other
P49914,other,Cytoplasm,other
P49915,other,other,other
P49916,other,other,other
P49917,other,Nucleus,other
P49918,,Nucleus,other
P49959,other,other,other
P49961,other,other,other
P50052,,Cell membrane,1.20.1070.10
P50053,other,,other
P50135,2.1.1,Cytoplasm,other
P50148,,other,other
P50150,,Cell membrane,other
P50151,,Cell membrane,other
P50213,other,Mitochondrion,other
P50219,,Nucleus,1.10.10.60
P50221,,"Nucleus, Cytoplasm",1.10.10.60
P50222,,other,1.10.10.60
P50225,other,Cytoplasm,3.40.50.300
P50226,other,Cytoplasm,3.40.50.300
P50238,,,other
P50281,other,other,other
P50336,other,Mitochondrion inner membrane,other
P50395,,other,other
P50402,,other,other
P50406,,Cell membrane,1.20.1070.10
P50416,2.3.1,other,other
P50440,other,other,
P50443,,other,other
P50452,,Cytoplasm,other
P50453,,Cytoplasm,other
P50454,,other,other
P50458,,Nucleus,other
P50461,,other,other
P50479,,other,other
P50502,,Cytoplasm,other
P50539,,Nucleus,other
P50542,,other,other
P50548,,Nucleus,other
P50549,,Nucleus,other
P50552,,other,other
P50553,,Nucleus,other
P50570,3.6.5,other,other
P50579,other,Cytoplasm,other
P50583,other,,other
P50591,,other,other
P50607,,other,
P50613,2.7.11,other,1.10.510.10
P50616,,"Cytoplasm, Nucleus",other
P50747,other,other,
P50748,,other,
P50749,,other,other
P50750,2.7.11,other,1.10.510.10
P50876,2.3.2,other,other
P50895,,Membrane,2.60.40.10
P50897,other,other,other
P50914,,Cytoplasm,other
P50990,,other,other
P50991,,other,other
P50993,other,other,other
P50995,,other,other
P51003,other,"Cytoplasm, Nucleus",other
P51114,,other,other
P51116,,other,other
P51124,3.4.21,other,other
P51148,3.6.5,other,3.40.50.300
P51149,3.6.5,other,3.40.50.300
P51151,,other,3.40.50.300
P51153,,other,3.40.50.300
P51157,,other,3.40.50.300
P51159,3.6.5,other,3.40.50.300
P51160,other,Cell membrane,other
P51161,,other,other
P51164,,other,other
P51168,,other,other
P51170,,other,other
P51172,,Cell membrane,other
P51178,other,,other
P51397,,,
P51398,,Mitochondrion,
P51449,,Nucleus,other
P51451,other,Cell membrane,other
P51452,3.1.3,Nucleus,other
P51460,,Secreted,other
P51511,other,Membrane,other
P51512,other,other,other
P51513,,Nucleus,other
P51530,other,other,other
P51531,3.6.4,Nucleus,other
P51532,3.6.4,Nucleus,other
P51553,,Mitochondrion,other
P51570,other,,other
P51571,,Endoplasmic reticulum membrane,
P51572,,other,other
P51575,,Cell membrane,other
P51580,2.1.1,Cytoplasm,other
P51582,,Cell membrane,1.20.1070.10
P51589,other,other,other
P51606,other,,other
P51608,,Nucleus,
P51610,,"Cytoplasm, Nucleus",other
P51617,2.7.11,other,other
P51636,,other,
P51648,other,other,
P51649,other,Mitochondrion,
P51654,,Cell membrane,
P51659,,other,other
P51665,,,other
P51668,2.3.2,Cytoplasm,other
P51671,,Secreted,other
P51674,,other,
P51677,,Cell membrane,1.20.1070.10
P51679,,Cell membrane,1.20.1070.10
P51681,,Cell membrane,1.20.1070.10
P51684,,other,1.20.1070.10
P51685,,Cell membrane,1.20.1070.10
P51686,,Cell membrane,1.20.1070.10
P51687,other,other,other
P51688,other,other,other
P51690,other,other,other
P51692,,"Cytoplasm, Nucleus",other
P51693,,other,other
P51784,3.4.19,other,other
P51787,,other,other
P51788,,other,other
P51790,,other,other
P51793,,other,other
P51795,,other,other
P51797,,other,other
P51798,,other,other
P51800,,Membrane,other
P51801,,Cell membrane,other
P51808,,other,other
P51809,,other,other
P51810,,other,1.20.1070.10
P51811,,Endoplasmic reticulum membrane,
P51812,2.7.11,"Nucleus, Cytoplasm",1.10.510.10
P51813,other,Cytoplasm,other
P51814,,Nucleus,"6.10.140.140, 3.30.160.60"
P51816,,other,other
P51817,2.7.11,"Cytoplasm, Nucleus",1.10.510.10
P51825,,Nucleus,other
P51826,,Nucleus,other
P51828,other,Membrane,other
P51841,other,other,other
P51843,,"Nucleus, Cytoplasm",other
P51854,other,Cytoplasm,other
P51857,other,Cytoplasm,other
P51858,,other,other
P51864,,Cell membrane,other
P51878,other,,other
P51884,,other,3.80.10.10
P51888,,other,3.80.10.10
P51946,,Nucleus,other
P51948,,Nucleus,other
P51955,2.7.11,other,1.10.510.10
P51956,2.7.11,other,1.10.510.10
P51957,2.7.11,other,1.10.510.10
P51959,,Nucleus,other
P51965,2.3.2,Nucleus,other
P51970,,other,
P51991,,Nucleus,3.30.70.330
P51993,2.4.1,other,other
P52179,,other,2.60.40.10
P52198,,other,3.40.50.300
P52209,other,Cytoplasm,other
P52272,,other,3.30.70.330
P52292,,other,other
P52294,,"Cytoplasm, Nucleus",other
P52298,,"Nucleus, Cytoplasm",3.30.70.330
P52306,,other,other
P52333,other,other,other
P52429,other,other,other
P52434,,other,other
P52435,,Nucleus,other
P52564,other,other,1.10.510.10
P52565,,Cytoplasm,other
P52566,,other,other
P52569,,Cell membrane,other
P52594,,other,other
P52597,,other,3.30.70.330
P52630,,"Cytoplasm, Nucleus",other
P52655,,Nucleus,other
P52657,,Nucleus,other
P52701,,other,other
P52732,,other,other
P52735,,,other
P52736,,Nucleus,"6.10.140.140, 3.30.160.60"
P52738,,Nucleus,"6.10.140.140, 3.30.160.60"
P52739,,Nucleus,3.30.160.60
P52742,,Nucleus,"6.10.140.140, 3.30.160.60"
P52744,,Nucleus,3.30.160.60
P52747,,Nucleus,3.30.160.60
P52756,,Nucleus,other
P52757,,Membrane,other
P52758,other,other,other
P52788,other,,other
P52789,other,other,other
P52790,other,,other
P52797,,Cell membrane,other
P52798,,other,other
P52799,,other,other
P52803,,other,other
P52815,,other,other
P52823,,Secreted,
P52824,other,other,other
P52848,other,other,3.40.50.300
P52849,other,other,3.40.50.300
P52888,other,Cytoplasm,other
P52895,other,other,other
P52907,,other,other
P52926,,Nucleus,
P52945,,other,1.10.10.60
P52948,3.4.21,other,other
P52951,,Nucleus,1.10.10.60
P52952,,Nucleus,1.10.10.60
P52954,,Nucleus,1.10.10.60
P52961,other,other,
P53004,other,other,other
P53007,,Mitochondrion inner membrane,other
P53041,3.1.3,other,other
P53350,2.7.11,other,other
P53355,2.7.11,other,other
P53365,,other,other
P53367,,other,other
P53370,other,other,other
P53384,,other,3.40.50.300
P53396,other,other,other
P53420,,other,other
P53539,,Nucleus,other
P53567,,Nucleus,other
P53582,other,Cytoplasm,other
P53597,other,Mitochondrion,other
P53602,other,Cytoplasm,other
P53609,other,,other
P53611,other,,other
P53618,,other,other
P53621,,other,other
P53634,other,other,other
P53667,2.7.11,other,other
P53671,2.7.11,other,other
P53672,,,other
P53673,,,other
P53674,,,other
P53675,,other,other
P53677,,other,other
P53680,,other,other
P53701,other,other,
P53708,,other,other
P53778,2.7.11,other,1.10.510.10
P53779,2.7.11,other,1.10.510.10
P53801,,other,
P53803,,other,other
P53804,2.3.2,other,other
P53805,,,3.30.70.330
P53814,,other,other
P53816,2.3.1,other,other
P53985,,other,other
P53990,,other,other
P53992,,other,other
P53999,,Nucleus,
P54098,other,other,other
