identifier,phrog,product,function
phage_0930,6,baseplate wedge subunit,tail
phage_0931,5240,tail fiber protein,tail
phage_0932,548,RNA ligase,"DNA, RNA and nucleotide metabolism"
phage_0933,1015,tail protein with lysin activity,tail
phage_0934,22609,tail fiber protein,tail
phage_0935,1423,Reverse transcriptase,"DNA, RNA and nucleotide metabolism"
phage_0936,772,tail fiber protein,tail
phage_0937,1538,tail length tape measure protein,tail
phage_0938,372,tail protein,tail
phage_0939,13427,,unknown function
phage_0940,83,terminase small subunit,head and packaging
phage_0941,22602,virion structural protein,head and packaging
phage_0942,2229,head maturation protease,head and packaging
phage_0943,195,head-tail adaptor,connector
phage_0944,559,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0945,12607,nucleoside deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_0946,23841,,unknown function
phage_0947,18673,tail fiber protein,tail
phage_0948,3609,,unknown function
phage_0949,4211,tail length tape measure protein,tail
phage_0950,1689,nucleotide kinase,other
phage_0951,422,major head protein,head and packaging
phage_0952,1328,major head protein,head and packaging
phage_0953,211,head-tail adaptor Ad2,connector
phage_0954,138,major head protein,head and packaging
phage_0955,648,head scaffolding protein,head and packaging
phage_0956,33766,SieB superinfection exclusion,"moron, auxiliary metabolic gene and host takeover"
phage_0957,26758,tail fiber protein,tail
phage_0958,1128,enoyl-CoA hydratase/carnithine racemase-like,"moron, auxiliary metabolic gene and host takeover"
phage_0959,4952,signal peptide motif,other
phage_0960,785,holin,lysis
phage_0961,3359,NAD-dependent DNA ligase,"DNA, RNA and nucleotide metabolism"
phage_0962,123,tail terminator,connector
phage_0963,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism"
phage_0964,1228,tail protein,tail
phage_0965,7,endolysin,lysis
phage_0966,1052,head assembly,head and packaging
phage_0967,2373,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_0968,395,cytidyltransferase,other
phage_0969,30,minor tail protein,tail
phage_0970,2433,,unknown function
phage_0971,40,head-tail adaptor Ad1,connector
phage_0972,82,head closure Hc1,connector
phage_0973,1740,RNA polymerase sigma factor,transcription regulation
phage_0974,120,baseplate wedge subunit,tail
phage_0975,381,tail fiber protein,tail
phage_0976,4973,,unknown function
phage_0977,88,major tail protein,tail
phage_0978,1,integrase,integration and excision
phage_0979,267,major head protein,head and packaging
phage_0980,267,major head protein,head and packaging
phage_0981,8446,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0982,4372,tail length tape measure protein,tail
phage_0983,1522,head maturation protease,head and packaging
phage_0984,221,metallo-phosphoesterase,other
phage_0985,32619,,unknown function
phage_0986,332,head-tail adaptor,connector
phage_0987,836,late transcriptional activator,transcription regulation
phage_0988,170,PhoH-like phosphate starvation-inducible,other
phage_0989,977,baseplate wedge subunit,tail
phage_0990,733,excisionase,integration and excision
phage_0991,79,anti-termination protein Q-like,transcription regulation
phage_0992,617,major head protein,head and packaging
phage_0993,24,tail length tape measure protein,tail
phage_0994,449,head-tail adaptor,connector
phage_0995,3347,Galactose-3-O-sulfotransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0996,309,terminase small subunit,head and packaging
phage_0997,4583,transcriptional repressor,transcription regulation
phage_0998,3205,,unknown function
phage_0999,1373,transcriptional regulator,transcription regulation
phage_1000,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1001,20064,,unknown function
phage_1002,8716,tail fiber protein,tail
phage_1003,31,central tail fiber J,tail
phage_1004,6506,Arc-like repressor,transcription regulation
phage_1005,763,head-tail adaptor,connector
phage_1006,1216,portal protein,head and packaging
phage_1007,263,holin,lysis
phage_1008,24667,major head protein,head and packaging
phage_1009,13438,tail tube protein,tail
phage_1010,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1011,13893,tail protein,tail
phage_1012,35419,tail fiber protein,tail
phage_1013,94,head maturation protease,head and packaging
phage_1014,20969,Rz-like spanin,lysis
phage_1015,3104,,unknown function
phage_1016,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1017,8446,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1018,449,head-tail adaptor,connector
phage_1019,80,head maturation protease,head and packaging
phage_1020,17776,,unknown function
phage_1021,35358,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1022,15167,ATPase,other
phage_1023,8763,tail protein,tail
phage_1024,38396,tail protein,tail
phage_1025,1408,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1026,842,beta-glucosyl-HMC-alpha-glucosyltransferase,other
phage_1027,677,baseplate wedge tail fiber protein connector,tail
phage_1028,935,,unknown function
phage_1029,309,terminase small subunit,head and packaging
phage_1030,3271,,unknown function
phage_1031,972,tail fiber protein proximal subunit,tail
phage_1032,267,major head protein,head and packaging
phage_1033,7,endolysin,lysis
phage_1034,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_1035,30,minor tail protein,tail
phage_1036,20658,head decoration,head and packaging
phage_1037,4204,tail terminator,connector
phage_1038,2509,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1039,20988,ATPase,other
phage_1040,511,internal virion protein,head and packaging
phage_1041,18345,tail fiber protein,tail
phage_1042,25413,holin,lysis
phage_1043,1238,phosphoheptose isomerase,"moron, auxiliary metabolic gene and host takeover"
phage_1044,1460,tRNA amidotransferase,"DNA, RNA and nucleotide metabolism"
phage_1045,179,tail terminator,connector
phage_1046,617,major head protein,head and packaging
phage_1047,30251,terminase large subunit,head and packaging
phage_1048,32369,,unknown function
phage_1049,206,head scaffolding protein,head and packaging
phage_1050,1625,involved in bacteriocin production or immunity,"moron, auxiliary metabolic gene and host takeover"
phage_1051,471,methylamine utilization,other
phage_1052,1107,tail length tape measure protein,tail
phage_1053,1249,acetyltransferase,other
phage_1054,120,baseplate wedge subunit,tail
phage_1055,7363,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1056,457,tail protein,tail
phage_1057,4145,terminase large subunit,head and packaging
phage_1058,991,tail length tape measure protein,tail
phage_1059,237,head scaffolding protein,head and packaging
phage_1060,2,terminase large subunit,head and packaging
phage_1061,3407,,unknown function
phage_1062,188,tail fiber assembly protein,tail
phage_1063,333,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1064,2115,tail protein,tail
phage_1065,72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_1066,355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_1067,14076,transcriptional regulator,transcription regulation
phage_1068,7241,transcriptional regulator,transcription regulation
phage_1069,626,anaerobic ribonucleotide reductase small subunit,"DNA, RNA and nucleotide metabolism"
phage_1070,880,endolysin,lysis
phage_1071,332,head-tail adaptor,connector
phage_1072,1790,terminase small subunit,head and packaging
phage_1073,8462,tail length tape measure protein,tail
phage_1074,10912,kinase,other
phage_1075,521,tail protein,tail
phage_1076,32377,cell division inhibitor,"moron, auxiliary metabolic gene and host takeover"
phage_1077,836,late transcriptional activator,transcription regulation
phage_1078,96,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1079,459,peptidase,other
phage_1080,5668,tail fiber protein,tail
phage_1081,1216,portal protein,head and packaging
phage_1082,179,tail terminator,connector
phage_1083,31,central tail fiber J,tail
phage_1084,27,tail completion or Neck1 protein,connector
phage_1085,23202,internal virion protein,head and packaging
phage_1086,12003,internal virion protein,head and packaging
phage_1087,1107,tail length tape measure protein,tail
phage_1088,78,tail terminator,connector
phage_1089,3288,transcriptional regulator,transcription regulation
phage_1090,1533,tail length tape measure protein,tail
phage_1091,8125,tail length tape measure protein,tail
phage_1092,332,head-tail adaptor,connector
phage_1093,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1094,673,head scaffolding protein,head and packaging
phage_1095,1,integrase,integration and excision
phage_1096,938,endolysin,lysis
phage_1097,23,tail sheath,tail
phage_1098,326,tail protein with endopeptidase domain,other
phage_1099,390,Arc-like repressor,transcription regulation
phage_1100,10300,transcriptional regulator,transcription regulation
phage_1101,95,integrase,integration and excision
phage_1102,1216,portal protein,head and packaging
phage_1103,206,head scaffolding protein,head and packaging
phage_1104,2,terminase large subunit,head and packaging
phage_1105,1293,tail length tape measure protein,tail
phage_1106,342,internal virion protein with endolysin domain,head and packaging
phage_1107,2304,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1108,80,head maturation protease,head and packaging
phage_1109,140,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_1110,2378,,unknown function
phage_1111,1967,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_1112,11,baseplate spike,tail
phage_1113,209,portal protein,head and packaging
phage_1114,701,virion structural protein,head and packaging
phage_1115,16927,,unknown function
phage_1116,21308,radical SAM domain-containing protein,other
phage_1117,392,metal-dependent hydrolase,other
phage_1118,66,excisionase and transcriptional regulator,integration and excision
phage_1119,267,major head protein,head and packaging
phage_1120,8446,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1121,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1122,959,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1123,15480,methyltransferase,other
phage_1124,40,head-tail adaptor Ad1,connector
phage_1125,122,head decoration,head and packaging
phage_1126,356,minor tail protein,tail
phage_1127,5073,tail fiber protein,tail
phage_1128,5775,head-tail connector protein,connector
phage_1129,1631,transposase,integration and excision
phage_1130,6123,virion structural protein,head and packaging
phage_1131,160,thymidylate synthase,"DNA, RNA and nucleotide metabolism"
phage_1132,43,baseplate wedge subunit,tail
phage_1133,3642,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1134,3927,head scaffolding protein,head and packaging
phage_1135,770,DNA transfer protein,other
phage_1136,28,tail length tape measure protein,tail
phage_1137,22609,tail fiber protein,tail
phage_1138,208,,unknown function
phage_1139,9942,tail fiber protein,tail
phage_1140,1302,distal tail protein,tail
phage_1141,9729,tail fiber protein,tail
phage_1142,6002,virion structural protein,head and packaging
phage_1143,305,tail length tape measure protein,tail
phage_1144,458,protease,other
phage_1145,465,endolysin,lysis
phage_1146,645,Rnase E,"DNA, RNA and nucleotide metabolism"
phage_1147,179,tail terminator,connector
phage_1148,3427,holin,lysis
phage_1149,22,thioredoxin domain,"DNA, RNA and nucleotide metabolism"
phage_1150,13900,minor head protein,head and packaging
phage_1151,35419,tail fiber protein,tail
phage_1152,17635,tail fiber protein,tail
phage_1153,442,head-tail adaptor,connector
phage_1154,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1155,367,ribonucleotide reductase,"DNA, RNA and nucleotide metabolism"
phage_1156,278,transcriptional regulator,transcription regulation
phage_1157,196,baseplate hub,tail
phage_1158,2,terminase large subunit,head and packaging
phage_1159,2534,released from the phage upon host infection,other
phage_1160,77,SbcC-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1161,400,tail protein,tail
phage_1162,3437,major head protein,head and packaging
phage_1163,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_1164,5846,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1165,10613,tail length tape measure protein,tail
phage_1166,51,terminase small subunit,head and packaging
phage_1167,35697,tail fiber protein,tail
phage_1168,1740,RNA polymerase sigma factor,transcription regulation
phage_1169,4764,excisionase,integration and excision
phage_1170,10,major head protein,head and packaging
phage_1171,66,excisionase and transcriptional regulator,integration and excision
phage_1172,3347,Galactose-3-O-sulfotransferase,"moron, auxiliary metabolic gene and host takeover"
phage_1173,4912,tail fiber assembly,tail
phage_1174,176,tail terminator,connector
phage_1175,5073,tail fiber protein,tail
phage_1176,23,tail sheath,tail
phage_1177,1432,tail associated lysin,tail
phage_1178,8865,head scaffolding protein,head and packaging
phage_1179,326,tail protein with endopeptidase domain,other
phage_1180,446,tail protein,tail
phage_1181,6643,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1182,2647,head decoration,head and packaging
phage_1183,1356,holin,lysis
phage_1184,391,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_1185,20988,ATPase,other
phage_1186,5616,tail fiber protein,tail
phage_1187,5033,endolysin; inhibits RNA polymerase,lysis
phage_1188,673,head scaffolding protein,head and packaging
phage_1189,51,terminase small subunit,head and packaging
phage_1190,72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_1191,67,DNA methyltransferase,other
phage_1192,309,terminase small subunit,head and packaging
phage_1193,384,virion structural protein,head and packaging
phage_1194,6,baseplate wedge subunit,tail
phage_1195,3427,holin,lysis
phage_1196,62,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_1197,30,minor tail protein,tail
phage_1198,1486,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_1199,5,tail completion or Neck1 protein,connector
phage_1200,22723,,unknown function
phage_1201,18345,tail fiber protein,tail
phage_1202,393,tail assembly chaperone,tail
phage_1203,18154,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1204,458,protease,other
phage_1205,6223,transcriptional repressor,transcription regulation
phage_1206,188,tail fiber assembly protein,tail
phage_1207,225,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1208,9483,tail length tape measure protein,tail
phage_1209,4842,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1210,9959,tail length tape measure protein,tail
phage_1211,6831,transcriptional regulator,transcription regulation
phage_1212,19556,tail fiber protein; host specificity,tail
phage_1213,5418,,unknown function
phage_1214,93,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1215,138,major head protein,head and packaging
phage_1216,58,tail length tape measure protein,tail
phage_1217,38,terminase large subunit,head and packaging
phage_1218,45,tail tube,tail
phage_1219,24210,tail fiber protein,tail
phage_1220,45,tail tube,tail
phage_1221,62,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_1222,418,internal virion protein,head and packaging
phage_1223,216,integrase,integration and excision
phage_1224,4636,tail spike protein,tail
phage_1225,2907,excisionase,integration and excision
phage_1226,697,structural protein,head and packaging
phage_1227,1595,terminase small subunit,head and packaging
phage_1228,2,terminase large subunit,head and packaging
phage_1229,3,transcriptional repressor,transcription regulation
phage_1230,14859,RNA ligase,"DNA, RNA and nucleotide metabolism"
phage_1231,308,internal virion protein,head and packaging
phage_1232,332,head-tail adaptor,connector
phage_1233,1216,portal protein,head and packaging
phage_1234,442,head-tail adaptor,connector
phage_1235,60,,unknown function
phage_1236,2662,portal protein,head and packaging
phage_1237,1522,head maturation protease,head and packaging
phage_1238,3341,esterase,other
phage_1239,181,endolysin,lysis
phage_1240,6651,internal virion protein,head and packaging
phage_1241,419,,unknown function
phage_1242,701,virion structural protein,head and packaging
phage_1243,1358,FtsK/SpoIIIE-like protein,"moron, auxiliary metabolic gene and host takeover"
phage_1244,505,polynucleotide kinase,other
phage_1245,33262,phosphoadenosine phosphosulfate reductase,"moron, auxiliary metabolic gene and host takeover"
phage_1246,836,late transcriptional activator,transcription regulation
phage_1247,34859,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_1248,106,minor tail protein,tail
phage_1249,21645,,unknown function
phage_1250,15127,head protein,head and packaging
phage_1251,1196,tail assembly chaperone,tail
phage_1252,23659,tail protein,tail
phage_1253,4946,tail protein,tail
phage_1254,23,tail sheath,tail
phage_1255,447,NAD synthetase,other
phage_1256,4201,tail fiber protein,tail
phage_1257,359,DNA methyltransferase,other
phage_1258,308,internal virion protein,head and packaging
phage_1259,6002,virion structural protein,head and packaging
phage_1260,169,tail completion or Neck1 protein,connector
phage_1261,2547,,unknown function
phage_1262,2913,glycoside hydrolase,other
phage_1263,1686,tail length tape measure protein,tail
phage_1264,588,tail fiber protein and host specificity,tail
phage_1265,10030,tail length tape measure protein,tail
phage_1266,270,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1267,362,transcriptional repressor,transcription regulation
phage_1268,24361,terminase,head and packaging
phage_1269,2013,lytic tail protein,tail
phage_1270,388,nucleotidyltransferase,"DNA, RNA and nucleotide metabolism"
phage_1271,1640,tail protein,tail
phage_1272,8215,baseplate wedge initiator,tail
phage_1273,1198,MutT/NUDIX hydrolase,other
phage_1274,449,head-tail adaptor,connector
phage_1275,38,terminase large subunit,head and packaging
phage_1276,2,terminase large subunit,head and packaging
phage_1277,240,head protein,head and packaging
phage_1278,10286,,unknown function
phage_1279,172,head scaffolding protein,head and packaging
phage_1280,8469,tail fiber protein,tail
phage_1281,123,tail terminator,connector
phage_1282,541,head-tail adaptor,connector
phage_1283,1749,tail assembly chaperone,tail
phage_1284,304,anti-termination protein Q-like,transcription regulation
phage_1285,2967,transcriptional regulator,transcription regulation
phage_1286,681,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1287,17048,anti-repressor,transcription regulation
phage_1288,12607,nucleoside deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_1289,7759,,unknown function
phage_1290,5616,tail fiber protein,tail
phage_1291,795,partition protein ATPase,other
phage_1292,1688,tail assembly chaperone,tail
phage_1293,1217,tail protein,tail
phage_1294,33,distal tail protein Dit,tail
phage_1295,561,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_1296,2,terminase large subunit,head and packaging
phage_1297,1384,Mom-like DNA modification protein,other
phage_1298,4197,tail length tape measure protein,tail
phage_1299,156,portal protein,head and packaging
phage_1300,17386,virion structural protein,head and packaging
phage_1301,3041,cytidyltransferase,other
phage_1302,894,endolysin,lysis
phage_1303,1766,tail fiber protein,tail
phage_1304,108,Lom outer membrane protein,other
phage_1305,11226,portal protein,head and packaging
phage_1306,15406,DNA methyltransferase,other
phage_1307,213,portal protein,head and packaging
phage_1308,16660,,unknown function
phage_1309,446,tail protein,tail
phage_1310,212,major head protein,head and packaging
phage_1311,2825,polymerase,"DNA, RNA and nucleotide metabolism"
phage_1312,10472,,unknown function
phage_1313,223,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism"
phage_1314,60,,unknown function
phage_1315,10356,virion structural protein,head and packaging
phage_1316,2,terminase large subunit,head and packaging
phage_1317,2589,tail protein,tail
phage_1318,120,baseplate wedge subunit,tail
phage_1319,3490,ERCC4-type nuclease,"DNA, RNA and nucleotide metabolism"
phage_1320,376,tail protein,tail
phage_1321,12671,peptidase,other
phage_1322,6866,,unknown function
phage_1323,394,tail protein,tail
phage_1324,529,tail fiber protein,tail
phage_1325,116,DNA methyltransferase,other
phage_1326,529,tail fiber protein,tail
phage_1327,19943,virion structural protein,head and packaging
phage_1328,50,DnaC-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_1329,995,transcriptional regulator,transcription regulation
phage_1330,25241,tail length tape measure protein,tail
phage_1331,1408,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1332,38,terminase large subunit,head and packaging
phage_1333,36,transcriptional regulator,transcription regulation
phage_1334,3022,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1335,4211,tail length tape measure protein,tail
phage_1336,2166,N4-like RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1337,5810,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1338,697,structural protein,head and packaging
phage_1339,7241,transcriptional regulator,transcription regulation
phage_1340,220,minor head protein and DNA pilot,head and packaging
phage_1341,26675,endolysin,lysis
phage_1342,387,neck protein,connector
phage_1343,17702,,unknown function
phage_1344,457,tail protein,tail
phage_1345,30742,tail fiber protein,tail
phage_1346,1642,virion structural protein,head and packaging
phage_1347,254,late promoter transcriptional regulator,transcription regulation
phage_1348,592,thymidine kinase,other
phage_1349,1216,portal protein,head and packaging
phage_1350,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_1351,562,RNA ligase and tail fiber protein attachment catalyst,tail
phage_1352,10285,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1353,3982,,unknown function
phage_1354,7121,tail fiber protein,tail
phage_1355,8892,tail length tape measure protein,tail
phage_1356,3946,,unknown function
phage_1357,2370,neck passage structure,connector
phage_1358,2048,tail protein,tail
phage_1359,1281,,unknown function
phage_1360,863,tail fiber assembly,tail
phage_1361,138,major head protein,head and packaging
phage_1362,5565,,unknown function
phage_1363,18,minor tail protein,tail
phage_1364,309,terminase small subunit,head and packaging
phage_1365,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_1366,2013,lytic tail protein,tail
phage_1367,917,released from the phage upon host infection,other
phage_1368,66,excisionase and transcriptional regulator,integration and excision
phage_1369,194,head scaffolding protein,head and packaging
phage_1370,13484,virion structural protein,head and packaging
phage_1371,227,tail sheath stabilizer,tail
phage_1372,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1373,9823,tail fiber protein,tail
phage_1374,7498,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_1375,31,central tail fiber J,tail
phage_1376,7032,tail fiber protein,tail
phage_1377,7241,transcriptional regulator,transcription regulation
phage_1378,33693,portal protein,head and packaging
phage_1379,179,tail terminator,connector
phage_1380,776,portal protein,head and packaging
phage_1381,289,GTP-binding domain,other
phage_1382,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_1383,990,metal-dependent phosphohydrolase,other
phage_1384,91,nicking at origin of replication,"DNA, RNA and nucleotide metabolism"
phage_1385,30,minor tail protein,tail
phage_1386,621,tail assembly chaperone,tail
phage_1387,12671,peptidase,other
phage_1388,137,head-tail adaptor Ad1,connector
phage_1389,17587,tail fiber protein,tail
phage_1390,28,tail length tape measure protein,tail
phage_1391,26672,virion structural protein,head and packaging
phage_1392,8510,virion structural protein,head and packaging
phage_1393,3557,transcriptional regulator,transcription regulation
phage_1394,4102,terminase small subunit,head and packaging
phage_1395,958,baseplate wedge subunit,tail
phage_1396,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_1397,317,endolysin,lysis
phage_1398,5448,tail length tape measure protein,tail
phage_1399,1768,endolysin,lysis
phage_1400,6444,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1401,18345,tail fiber protein,tail
phage_1402,5711,head fiber protein,head and packaging
phage_1403,6366,polarity suppression Psu-like by overcoming Rho,"DNA, RNA and nucleotide metabolism"
phage_1404,26,tail completion or Neck1 protein,connector
phage_1405,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1406,19943,virion structural protein,head and packaging
phage_1407,1,integrase,integration and excision
phage_1408,8510,virion structural protein,head and packaging
phage_1409,38058,tail fiber protein,tail
phage_1410,31,central tail fiber J,tail
phage_1411,156,portal protein,head and packaging
phage_1412,1745,DNA transfer protein,other
phage_1413,1693,,unknown function
phage_1414,2534,released from the phage upon host infection,other
phage_1415,4736,L-glutamine-D-fructose-6-phosphate aminotransferase,other
phage_1416,35,transcriptional repressor,transcription regulation
phage_1417,2263,major head protein,head and packaging
phage_1418,103,tail protein,tail
phage_1419,8462,tail length tape measure protein,tail
phage_1420,3645,virion structural protein,head and packaging
phage_1421,452,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1422,739,Rz-like spanin,lysis
phage_1423,471,methylamine utilization,other
phage_1424,26292,tail fiber protein,tail
phage_1425,110,minor tail protein,tail
phage_1426,5668,tail fiber protein,tail
phage_1427,2683,minor tail protein,tail
phage_1428,52,tail protein,tail
phage_1429,1249,acetyltransferase,other
phage_1430,1821,transcriptional regulator WhiB-like,transcription regulation
phage_1431,207,head maturation protease,head and packaging
phage_1432,29002,minor tail protein,tail
phage_1433,14417,tail fiber protein; host specificity,tail
phage_1434,3282,sigma factor,transcription regulation
phage_1435,40,head-tail adaptor Ad1,connector
phage_1436,4211,tail length tape measure protein,tail
phage_1437,953,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1438,192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism"
phage_1439,8,transcriptional regulator,transcription regulation
phage_1440,22,thioredoxin domain,"DNA, RNA and nucleotide metabolism"
phage_1441,12796,tail fiber protein,tail
phage_1442,2538,terminase small subunit,head and packaging
phage_1443,729,cold shock protein,other
phage_1444,8,transcriptional regulator,transcription regulation
phage_1445,2304,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1446,2323,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1447,1271,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1448,149,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_1449,94,head maturation protease,head and packaging
phage_1450,9526,terminase large subunit,head and packaging
phage_1451,1004,virion structural protein,head and packaging
phage_1452,45,tail tube,tail
phage_1453,6002,virion structural protein,head and packaging
phage_1454,84,ribonucleoside-diphosphate reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_1455,2,terminase large subunit,head and packaging
phage_1456,399,structural protein,head and packaging
phage_1457,471,methylamine utilization,other
phage_1458,213,portal protein,head and packaging
phage_1459,329,minor tail protein,tail
phage_1460,7673,internal head protein,head and packaging
phage_1461,118,head-tail adaptor,connector
phage_1462,609,RIIB lysis inhibitor,lysis
phage_1463,3645,virion structural protein,head and packaging
phage_1464,946,,unknown function
phage_1465,80,head maturation protease,head and packaging
phage_1466,9354,,unknown function
phage_1467,1322,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_1468,4636,tail spike protein,tail
phage_1469,1530,DNA methyltransferase,other
phage_1470,6123,virion structural protein,head and packaging
phage_1471,308,internal virion protein,head and packaging
phage_1472,2631,tail fiber protein,tail
phage_1473,15396,ParB-like partition nuclease,"DNA, RNA and nucleotide metabolism"
phage_1474,8510,virion structural protein,head and packaging
phage_1475,1408,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1476,66,excisionase and transcriptional regulator,integration and excision
phage_1477,1216,portal protein,head and packaging
phage_1478,2255,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1479,150,baseplate hub,tail
phage_1480,77,SbcC-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1481,399,structural protein,head and packaging
phage_1482,307,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_1483,20695,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1484,220,minor head protein and DNA pilot,head and packaging
phage_1485,3295,RNA polymerase beta subunit,"DNA, RNA and nucleotide metabolism"
phage_1486,17587,tail fiber protein,tail
phage_1487,1249,acetyltransferase,other
phage_1488,156,portal protein,head and packaging
phage_1489,18673,tail fiber protein,tail
phage_1490,613,head protein,head and packaging
phage_1491,1121,tail fiber adhesin,tail
phage_1492,3558,tail protein,tail
phage_1493,13123,,unknown function
phage_1494,9611,endolysin,lysis
phage_1495,460,head closure Hc2,connector
phage_1496,17,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1497,297,holin,lysis
phage_1498,244,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_1499,673,head scaffolding protein,head and packaging
phage_1500,206,head scaffolding protein,head and packaging
phage_1501,44,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1502,18345,tail fiber protein,tail
phage_1503,3665,,unknown function
phage_1504,435,endolysin,lysis
phage_1505,80,head maturation protease,head and packaging
phage_1506,5668,tail fiber protein,tail
phage_1507,10457,endolysin,lysis
phage_1508,179,tail terminator,connector
phage_1509,4291,RNA-dependent RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1510,9703,head decoration,head and packaging
phage_1511,349,virion structural protein,head and packaging
phage_1512,30,minor tail protein,tail
phage_1513,26878,virion structural protein,head and packaging
phage_1514,213,portal protein,head and packaging
phage_1515,13932,co-chaperonin GroES,other
phage_1516,213,portal protein,head and packaging
phage_1517,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
