identifier,phrog,product,function,product_category
phage_1350,28,tail length tape measure protein,tail,tail_tape_measure
phage_1351,1442,tail assembly chaperone,tail,tail_assembly
phage_1352,14101,transcriptional regulator,transcription regulation,transcription_regulation
phage_1353,31319,,unknown function,
phage_1354,14558,tail spike protein,tail,minor_tail
phage_1355,415,polynucleotide kinase,other,
phage_1356,32164,,unknown function,
phage_1357,1128,enoyl-CoA hydratase/carnithine racemase-like,"moron, auxiliary metabolic gene and host takeover",
phage_1358,3629,tail tube protein,tail,major_tail
phage_1359,35121,,unknown function,
phage_1360,8125,tail length tape measure protein,tail,tail_tape_measure
phage_1361,3437,major head protein,head and packaging,major_capsid
phage_1362,560,,unknown function,
phage_1363,8763,tail protein,tail,
phage_1364,4492,tail fiber protein,tail,minor_tail
phage_1365,28766,tail fiber protein,tail,minor_tail
phage_1366,22602,virion structural protein,head and packaging,structural
phage_1367,2468,head morphogenesis,head and packaging,major_capsid
phage_1368,14775,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_1369,21,portal protein,head and packaging,portal
phage_1370,2514,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1371,281,PAAR motif of membran proteins,"moron, auxiliary metabolic gene and host takeover",
phage_1372,1,integrase,integration and excision,recombination
phage_1373,27166,tail length tape measure protein,tail,tail_tape_measure
phage_1374,1,integrase,integration and excision,recombination
phage_1375,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1376,5351,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1377,12019,MazG-like pyrophosphatase,other,hydrolases
phage_1378,14076,transcriptional regulator,transcription regulation,transcription_regulation
phage_1379,8156,methyltransferase,other,dna_modification
phage_1380,32829,tail fiber protein,tail,minor_tail
phage_1381,215,structural protein with Ig domain,head and packaging,structural
phage_1382,3282,sigma factor,transcription regulation,transcription
phage_1383,2439,transcriptional regulator,transcription regulation,transcription_regulation
phage_1384,2589,tail protein,tail,
phage_1385,842,beta-glucosyl-HMC-alpha-glucosyltransferase,other,
phage_1386,3926,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1387,803,host nuclease inhibitor,"moron, auxiliary metabolic gene and host takeover",
phage_1388,28745,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_1389,2589,tail protein,tail,
phage_1390,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_1391,36,transcriptional regulator,transcription regulation,transcription_regulation
phage_1392,10508,tail fiber protein,tail,minor_tail
phage_1393,47,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1394,2289,helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1395,174,dCMP deaminase,"DNA, RNA and nucleotide metabolism",
phage_1396,863,tail fiber assembly,tail,
phage_1397,8215,baseplate wedge initiator,tail,baseplate
phage_1398,4603,alpha-2;3-sialyltransferase,other,
phage_1399,1305,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_1400,1645,virion structural protein,head and packaging,structural
phage_1401,16914,sporulation protein,"moron, auxiliary metabolic gene and host takeover",
phage_1402,2514,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1403,195,head-tail adaptor,connector,connector
phage_1404,3810,acetyltransferase,other,transferases
phage_1405,217,holin,lysis,lysis
phage_1406,355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism",
phage_1407,2967,transcriptional regulator,transcription regulation,transcription_regulation
phage_1408,38058,tail fiber protein,tail,minor_tail
phage_1409,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_1410,19287,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_1411,4008,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1412,2522,major head protein,head and packaging,major_capsid
phage_1413,3447,,unknown function,
phage_1414,376,tail protein,tail,
phage_1415,6251,replisome organizer DnaA-like,"DNA, RNA and nucleotide metabolism",
phage_1416,7220,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism",transcriptional_control
phage_1417,6831,transcriptional regulator,transcription regulation,transcription_regulation
phage_1418,342,internal virion protein with endolysin domain,head and packaging,lysis
phage_1419,920,holin,lysis,lysis
phage_1420,2123,recombinase,other,recombination
phage_1421,378,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1422,5107,amidase,lysis,peptidases
phage_1423,3503,head scaffolding protein,head and packaging,head_assembly
phage_1424,236,nucleotide kinase,other,
phage_1425,3277,DnaC-like helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1426,9148,UDP-glucose dehydrogenase,other,oxidoreductases
phage_1427,18345,tail fiber protein,tail,minor_tail
phage_1428,548,RNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_1429,4287,DNA ejection protein,"DNA, RNA and nucleotide metabolism",
phage_1430,841,GtrB-like O-antigen conversion,"moron, auxiliary metabolic gene and host takeover",
phage_1431,865,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1432,13126,"beta-1,4-glycosyltransferase","moron, auxiliary metabolic gene and host takeover",transferases
phage_1433,263,holin,lysis,lysis
phage_1434,761,thymidylate kinase,other,
phage_1435,16991,tail sheath,tail,major_tail
phage_1436,1872,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1437,761,thymidylate kinase,other,
phage_1438,4492,tail fiber protein,tail,minor_tail
phage_1439,2643,5'-3' deoxyribonucleotidase,"moron, auxiliary metabolic gene and host takeover",
phage_1440,27373,tail protein,tail,
phage_1441,214,Rz-like spanin,lysis,lysis
phage_1442,36,transcriptional regulator,transcription regulation,transcription_regulation
phage_1443,44,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1444,1990,Cas4-domain exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_1445,90,endolysin,lysis,lysis
phage_1446,205,tail sheath,tail,major_tail
phage_1447,38233,tail fiber protein,tail,minor_tail
phage_1448,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_1449,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_1450,18345,tail fiber protein,tail,minor_tail
phage_1451,4286,head maturation protease,head and packaging,head_assembly
phage_1452,58,tail length tape measure protein,tail,tail_tape_measure
phage_1453,10030,tail length tape measure protein,tail,tail_tape_measure
phage_1454,3575,major tail protein,tail,major_tail
phage_1455,85,thymidylate synthase,"DNA, RNA and nucleotide metabolism",
phage_1456,942,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1457,96,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1458,559,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1459,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_1460,18345,tail fiber protein,tail,minor_tail
phage_1461,799,DNA methyltransferase,other,dna_modification
phage_1462,802,Alt-like RNA polymerase ADP-ribosyltransferase,"moron, auxiliary metabolic gene and host takeover",transcription
phage_1463,3883,internal virion protein,head and packaging,structural
phage_1464,20133,,unknown function,
phage_1465,351,RNA polymerase sigma factor,transcription regulation,transcription
phage_1466,36735,,unknown function,
phage_1467,234,late sigma transcription factor,transcription regulation,transcription
phage_1468,226,minor tail protein,tail,minor_tail
phage_1469,581,minor head protein,head and packaging,minor_capsid
phage_1470,83,terminase small subunit,head and packaging,dna_packaging
phage_1471,445,terminase small subunit,head and packaging,dna_packaging
phage_1472,5351,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1473,1032,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1474,6977,minor tail protein,tail,minor_tail
phage_1475,11848,GtrC-like O-antigen conversion translocase,"moron, auxiliary metabolic gene and host takeover",
phage_1476,5782,virion structural protein,head and packaging,structural
phage_1477,11,baseplate spike,tail,baseplate
phage_1478,22502,methyltransferase,other,dna_modification
phage_1479,11589,major head protein,head and packaging,major_capsid
phage_1480,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism",
phage_1481,9574,tail protein,tail,
phage_1482,1535,tail length tape measure protein,tail,tail_tape_measure
phage_1483,12131,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1484,1160,baseplate protein,tail,baseplate
phage_1485,4297,Rz-like spanin,lysis,lysis
phage_1486,149,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_1487,4602,transglycosylase,other,
phage_1488,1035,endonuclease VII,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1489,7106,major head protein,head and packaging,major_capsid
phage_1490,131,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1491,1008,DNA methyltransferase,other,dna_modification
phage_1492,3206,Avd protein of DGR,"DNA, RNA and nucleotide metabolism",
phage_1493,3109,,unknown function,
phage_1494,57,terminase small subunit,head and packaging,dna_packaging
phage_1495,178,high light inducible protein,other,
phage_1496,612,RIIA lysis inhibitor,lysis,
phage_1497,7785,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1498,14138,minor tail protein,tail,minor_tail
phage_1499,4225,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1500,3475,minor tail protein,tail,minor_tail
phage_1501,7162,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_1502,6086,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1503,2728,,unknown function,
phage_1504,130,anti-repressor Ant,transcription regulation,transcriptional_control
phage_1505,214,Rz-like spanin,lysis,lysis
phage_1506,177,baseplate hub,tail,baseplate
phage_1507,17623,tail collar fiber protein,tail,
phage_1508,695,DNA polymerase/primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1509,1040,peptidase HslV family,other,peptidases
phage_1510,37649,tail length tape measure protein,tail,tail_tape_measure
phage_1511,4779,transcriptional regulator,transcription regulation,transcription_regulation
phage_1512,18345,tail fiber protein,tail,minor_tail
phage_1513,25,head closure Hc1,connector,head_assembly
phage_1514,228,Arc-like repressor,transcription regulation,transcriptional_control
phage_1515,10475,endolysin,lysis,lysis
phage_1516,2044,RNA polymerase beta subunit,"DNA, RNA and nucleotide metabolism",transcription
phage_1517,2447,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1518,36964,terminase large subunit,head and packaging,dna_packaging
phage_1519,1800,tail collar fiber protein,tail,
phage_1520,472,WhiB transcriptional factor,transcription regulation,
phage_1521,5342,tail fiber protein,tail,minor_tail
phage_1522,54,DksA-like zinc-finger protein,other,
phage_1523,1189,,unknown function,
phage_1524,6465,tail protein,tail,
phage_1525,1535,tail length tape measure protein,tail,tail_tape_measure
phage_1526,3751,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_1527,2725,acetyl-CoA acetyltransferase,other,transferases
phage_1528,399,structural protein,head and packaging,structural
phage_1529,27380,methyltransferase,other,dna_modification
phage_1530,22502,methyltransferase,other,dna_modification
phage_1531,7363,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1532,236,nucleotide kinase,other,
phage_1533,28902,major tail protein,tail,major_tail
phage_1534,817,tail fiber protein,tail,minor_tail
phage_1535,9438,anti-repressor,transcription regulation,transcriptional_control
phage_1536,1220,head protein,head and packaging,
phage_1537,8,transcriptional regulator,transcription regulation,transcription_regulation
phage_1538,3180,Arc-like repressor,transcription regulation,transcriptional_control
phage_1539,69,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_1540,18,minor tail protein,tail,minor_tail
phage_1541,8469,tail fiber protein,tail,minor_tail
phage_1542,23523,,unknown function,
phage_1543,4201,tail fiber protein,tail,minor_tail
phage_1544,1272,tail length tape measure protein,tail,tail_tape_measure
phage_1545,1913,tail protein,tail,
phage_1546,2593,anti-repressor,transcription regulation,transcriptional_control
phage_1547,236,nucleotide kinase,other,
phage_1548,3432,minor tail protein,tail,minor_tail
phage_1549,3139,aminotransferase,other,transferases
phage_1550,725,CII-like regulator,transcription regulation,transcriptional_control
phage_1551,18891,tail length tape measure protein,tail,tail_tape_measure
phage_1552,33450,tail fiber protein,tail,minor_tail
phage_1553,5,tail completion or Neck1 protein,connector,tail_assembly
phage_1554,812,Rz-like spanin,lysis,lysis
phage_1555,262,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1556,5813,tail assembly chaperone,tail,tail_assembly
phage_1557,1158,tail assembly chaperone,tail,tail_assembly
phage_1558,471,methylamine utilization,other,
phage_1559,180,baseplate wedge subunit,tail,baseplate
phage_1560,9483,tail length tape measure protein,tail,tail_tape_measure
phage_1561,18345,tail fiber protein,tail,minor_tail
phage_1562,44,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1563,14349,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_1564,1272,tail length tape measure protein,tail,tail_tape_measure
phage_1565,6819,Holliday junction branch migration helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1566,510,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1567,15427,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1568,25852,virion structural protein,head and packaging,structural
phage_1569,11,baseplate spike,tail,baseplate
phage_1570,37649,tail length tape measure protein,tail,tail_tape_measure
phage_1571,32201,,unknown function,
phage_1572,1146,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_1573,9959,tail length tape measure protein,tail,tail_tape_measure
phage_1574,1,integrase,integration and excision,recombination
phage_1575,379,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_1576,1468,transcriptional repressor,transcription regulation,transcription_regulation
phage_1577,655,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1578,497,toxin-antitoxin system HicB-like,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_1579,11894,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_1580,1535,tail length tape measure protein,tail,tail_tape_measure
phage_1581,33693,portal protein,head and packaging,portal
phage_1582,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_1583,104,portal protein,head and packaging,portal
phage_1584,981,minor tail protein,tail,minor_tail
phage_1585,677,baseplate wedge tail fiber protein connector,tail,minor_tail
phage_1586,124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_1587,6651,internal virion protein,head and packaging,structural
phage_1588,5616,tail fiber protein,tail,minor_tail
phage_1589,3041,cytidyltransferase,other,
phage_1590,2524,,unknown function,
phage_1591,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1592,1716,tail length tape measure protein,tail,tail_tape_measure
phage_1593,16259,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1594,8510,virion structural protein,head and packaging,structural
phage_1595,3301,pyrophosphatase,other,hydrolases
phage_1596,18522,tail protein,tail,
phage_1597,4268,transcriptional repressor,transcription regulation,transcription_regulation
phage_1598,1087,,unknown function,
phage_1599,2538,terminase small subunit,head and packaging,dna_packaging
phage_1600,863,tail fiber assembly,tail,
phage_1601,3287,virion structural protein,head and packaging,structural
phage_1602,776,portal protein,head and packaging,portal
phage_1603,1832,released from the phage upon host infection,other,
phage_1604,24759,methyltransferase,other,dna_modification
phage_1605,151,transposase,integration and excision,
phage_1606,435,endolysin,lysis,lysis
phage_1607,10356,virion structural protein,head and packaging,structural
phage_1608,1663,dCTP deaminase,"DNA, RNA and nucleotide metabolism",
phage_1609,19395,tail fiber protein; host specificity,tail,minor_tail
phage_1610,378,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1611,2657,transcriptional regulator,transcription regulation,transcription_regulation
phage_1612,248,transcriptional activator,transcription regulation,transcription_regulation
phage_1613,10886,transcriptional regulator,transcription regulation,transcription_regulation
phage_1614,13893,tail protein,tail,
phage_1615,578,head closure Hc3,connector,head_assembly
phage_1616,8865,head scaffolding protein,head and packaging,head_assembly
phage_1617,18891,tail length tape measure protein,tail,tail_tape_measure
phage_1618,2386,virion structural protein,head and packaging,structural
phage_1619,4602,transglycosylase,other,
phage_1620,22267,transcriptional regulator WhiB-like,transcription regulation,transcription_regulation
phage_1621,9116,tail protein,tail,
phage_1622,67,DNA methyltransferase,other,dna_modification
phage_1623,9116,tail protein,tail,
phage_1624,2589,tail protein,tail,
phage_1625,1794,amidase,lysis,peptidases
phage_1626,2249,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1627,10365,late transcriptional activator,transcription regulation,transcription_regulation
phage_1628,968,RNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_1629,2890,peptide deformylase,other,
phage_1630,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_1631,30742,tail fiber protein,tail,minor_tail
phage_1632,2688,,unknown function,
phage_1633,634,baseplate hub assembly catalyst,tail,baseplate
phage_1634,1249,acetyltransferase,other,transferases
phage_1635,9474,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1636,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism",
phage_1637,31,central tail fiber J,tail,
phage_1638,119,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1639,29,major head protein,head and packaging,major_capsid
phage_1640,6211,minor tail protein,tail,minor_tail
phage_1641,358,,unknown function,
phage_1642,445,terminase small subunit,head and packaging,dna_packaging
phage_1643,863,tail fiber assembly,tail,
phage_1644,15437,tail fiber protein,tail,minor_tail
phage_1645,1383,virion structural protein,head and packaging,structural
phage_1646,541,head-tail adaptor,connector,connector
phage_1647,1800,tail collar fiber protein,tail,
phage_1648,99,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1649,641,terminase small subunit,head and packaging,dna_packaging
phage_1650,4212,,unknown function,
phage_1651,128,,unknown function,
phage_1652,9665,transcriptional regulator,transcription regulation,transcription_regulation
phage_1653,284,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_1654,1032,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1655,9522,major tail protein,tail,major_tail
phage_1656,9366,transposase,integration and excision,
phage_1657,1766,tail fiber protein,tail,minor_tail
phage_1658,1963,,unknown function,
phage_1659,6025,DNA methyltransferase,other,dna_modification
phage_1660,17885,tail fiber protein,tail,minor_tail
phage_1661,62,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1662,2675,DNA methyltransferase,other,dna_modification
phage_1663,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_1664,79,anti-termination protein Q-like,transcription regulation,
phage_1665,54,DksA-like zinc-finger protein,other,
phage_1666,40,head-tail adaptor Ad1,connector,connector
phage_1667,6251,replisome organizer DnaA-like,"DNA, RNA and nucleotide metabolism",
phage_1668,38233,tail fiber protein,tail,minor_tail
phage_1669,5668,tail fiber protein,tail,minor_tail
phage_1670,323,"transcriptional regulator, D5-like",transcription regulation,transcription_regulation
phage_1671,1011,virion structural protein,head and packaging,structural
phage_1672,13911,virion structural protein,head and packaging,structural
phage_1673,61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_1674,3904,tail fiber protein,tail,minor_tail
phage_1675,270,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1676,451,,unknown function,
phage_1677,18104,transcriptional regulator,transcription regulation,transcription_regulation
phage_1678,1670,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_1679,14064,tail fiber protein,tail,minor_tail
phage_1680,405,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1681,8469,tail fiber protein,tail,minor_tail
phage_1682,6942,tail fiber protein,tail,minor_tail
phage_1683,6958,virion structural protein,head and packaging,structural
phage_1684,93,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1685,5838,virion structural protein,head and packaging,structural
phage_1686,2468,head morphogenesis,head and packaging,major_capsid
phage_1687,12,portal protein,head and packaging,portal
phage_1688,9017,tail fiber protein,tail,minor_tail
phage_1689,5799,,unknown function,
phage_1690,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism",
phage_1691,5190,,unknown function,
phage_1692,3188,co-chaperonin GroES,other,
phage_1693,21,portal protein,head and packaging,portal
phage_1694,456,Rz-like spanin,lysis,lysis
phage_1695,21412,tail fiber protein,tail,minor_tail
phage_1696,156,portal protein,head and packaging,portal
phage_1697,13819,gpCom control of modification,"DNA, RNA and nucleotide metabolism",
phage_1698,581,minor head protein,head and packaging,minor_capsid
phage_1699,9,terminase large subunit,head and packaging,dna_packaging
phage_1700,4008,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1701,249,porphyrin biosynthesis,"moron, auxiliary metabolic gene and host takeover",
phage_1702,18345,tail fiber protein,tail,minor_tail
phage_1703,2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_1704,612,RIIA lysis inhibitor,lysis,
phage_1705,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_1706,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_1707,13857,tail protein,tail,
phage_1708,3301,pyrophosphatase,other,hydrolases
phage_1709,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism",
phage_1710,472,WhiB transcriptional factor,transcription regulation,
phage_1711,2328,transcriptional repressor,transcription regulation,transcription_regulation
phage_1712,8510,virion structural protein,head and packaging,structural
phage_1713,35,transcriptional repressor,transcription regulation,transcription_regulation
phage_1714,1885,minor tail protein,tail,minor_tail
phage_1715,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_1716,20554,hyaluronidase,other,
phage_1717,5131,thymidylate synthase,"DNA, RNA and nucleotide metabolism",
phage_1718,1887,tail protein,tail,
phage_1719,8510,virion structural protein,head and packaging,structural
phage_1720,305,tail length tape measure protein,tail,tail_tape_measure
phage_1721,3636,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_1722,3041,cytidyltransferase,other,
phage_1723,1640,tail protein,tail,
phage_1724,2013,lytic tail protein,tail,
phage_1725,17300,tail length tape measure protein,tail,tail_tape_measure
phage_1726,403,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1727,2890,peptide deformylase,other,
phage_1728,873,endolysin,head and packaging,lysis
phage_1729,9019,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_1730,2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover",
phage_1731,28234,endolysin,lysis,lysis
phage_1732,221,metallo-phosphoesterase,other,
phage_1733,5255,tail length tape measure protein,tail,tail_tape_measure
phage_1734,229,MazG-like pyrophosphatase,other,hydrolases
phage_1735,17594,tail length tape measure protein,tail,tail_tape_measure
phage_1736,34020,,unknown function,
phage_1737,2975,Rz-like spanin,lysis,lysis
phage_1738,4211,tail length tape measure protein,tail,tail_tape_measure
phage_1739,1238,phosphoheptose isomerase,"moron, auxiliary metabolic gene and host takeover",
phage_1740,13107,,unknown function,
phage_1741,4372,tail length tape measure protein,tail,tail_tape_measure
phage_1742,11801,DNA methyltransferase,other,dna_modification
phage_1743,13493,,unknown function,
phage_1744,3810,acetyltransferase,other,transferases
phage_1745,5718,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1746,38058,tail fiber protein,tail,minor_tail
phage_1747,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_1748,22092,,unknown function,
phage_1749,6700,endolysin,lysis,lysis
phage_1750,25763,,unknown function,
phage_1751,64,portal protein,head and packaging,portal
phage_1752,362,transcriptional repressor,transcription regulation,transcription_regulation
phage_1753,13930,,unknown function,
phage_1754,36353,virion structural protein,head and packaging,structural
phage_1755,458,protease,other,peptidases
phage_1756,771,virion structural protein,head and packaging,structural
phage_1757,1,integrase,integration and excision,recombination
phage_1758,3884,major tail protein,tail,major_tail
phage_1759,5813,tail assembly chaperone,tail,tail_assembly
phage_1760,4201,tail fiber protein,tail,minor_tail
phage_1761,8510,virion structural protein,head and packaging,structural
phage_1762,405,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1763,8125,tail length tape measure protein,tail,tail_tape_measure
phage_1764,3287,virion structural protein,head and packaging,structural
phage_1765,2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_1766,5668,tail fiber protein,tail,minor_tail
phage_1767,11522,,unknown function,
phage_1768,1,integrase,integration and excision,recombination
phage_1769,14988,peptidase,other,peptidases
phage_1770,445,terminase small subunit,head and packaging,dna_packaging
phage_1771,1005,major head protein,head and packaging,major_capsid
phage_1772,3598,transposase,integration and excision,
phage_1773,16823,tail length tape measure protein,tail,tail_tape_measure
phage_1774,289,GTP-binding domain,other,
phage_1775,236,nucleotide kinase,other,
phage_1776,4381,,unknown function,
phage_1777,32853,,unknown function,
phage_1778,947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1779,677,baseplate wedge tail fiber protein connector,tail,minor_tail
phage_1780,651,head morphogenesis,head and packaging,major_capsid
phage_1781,807,major tail protein with Ig-like domain,tail,major_tail
phage_1782,176,tail terminator,connector,tail_assembly
phage_1783,5668,tail fiber protein,tail,minor_tail
phage_1784,4752,tRNA methyltransferase,other,dna_modification
phage_1785,4798,tail protein,tail,
phage_1786,6005,virion structural protein,head and packaging,structural
phage_1787,979,terminase large subunit,head and packaging,dna_packaging
phage_1788,1740,RNA polymerase sigma factor,transcription regulation,transcription
phage_1789,6958,virion structural protein,head and packaging,structural
phage_1790,187,head-tail adaptor,connector,connector
phage_1791,26672,virion structural protein,head and packaging,structural
phage_1792,404,minor tail protein,tail,minor_tail
phage_1793,195,head-tail adaptor,connector,connector
phage_1794,1506,tail length tape measure protein,tail,tail_tape_measure
phage_1795,9570,tail length tape measure protein,tail,tail_tape_measure
phage_1796,10475,endolysin,lysis,lysis
phage_1797,645,Rnase E,"DNA, RNA and nucleotide metabolism",
phage_1798,237,head scaffolding protein,head and packaging,head_assembly
phage_1799,8462,tail length tape measure protein,tail,tail_tape_measure
phage_1800,80,head maturation protease,head and packaging,head_assembly
phage_1801,8271,,unknown function,
phage_1802,18104,transcriptional regulator,transcription regulation,transcription_regulation
phage_1803,2729,virion structural protein,head and packaging,structural
phage_1804,5481,tail fiber protein,tail,minor_tail
phage_1805,115,minor head protein,head and packaging,minor_capsid
phage_1806,8510,virion structural protein,head and packaging,structural
phage_1807,34405,tail length tape measure protein,tail,tail_tape_measure
phage_1808,1756,tail protein,tail,
phage_1809,24,tail length tape measure protein,tail,tail_tape_measure
phage_1810,5736,transcriptional regulator,transcription regulation,transcription_regulation
phage_1811,17517,tail protein,tail,
phage_1812,1993,,unknown function,
phage_1813,1128,enoyl-CoA hydratase/carnithine racemase-like,"moron, auxiliary metabolic gene and host takeover",
phage_1814,2443,amidoligase enzyme,other,ligases
phage_1815,8,transcriptional regulator,transcription regulation,transcription_regulation
phage_1816,17058,,unknown function,
phage_1817,36,transcriptional regulator,transcription regulation,transcription_regulation
phage_1818,6651,internal virion protein,head and packaging,structural
phage_1819,192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism",dna_replication
phage_1820,2,terminase large subunit,head and packaging,dna_packaging
phage_1821,9942,tail fiber protein,tail,minor_tail
phage_1822,22502,methyltransferase,other,dna_modification
phage_1823,371,major head protein,head and packaging,major_capsid
phage_1824,1731,virion structural protein,head and packaging,structural
phage_1825,4201,tail fiber protein,tail,minor_tail
phage_1826,973,tail length tape measure protein,tail,tail_tape_measure
