identifier,Order,Family,Genus,protein_category,Protein families
Q5Y4V1,Araneae,Agelenidae,Agelena,neurotoxin,"Neurotoxin 07 (Beta/delta-agtx) family, 03 (aga-4) subfamily, Aga sub-subfamily"
A0A3G1VU73,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin R superfamily
Q2I2R2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O1 superfamily
B6DD40,Araneae,Lycosidae,Lycosa,venom_protein_other,"Venom protein 11 family, 01 (wap-1) subfamily"
P0DTY1,Neogastropoda,Conidae,Californiconus,,
P0DTY0,Neogastropoda,Conidae,Californiconus,conotoxin,Conotoxin O1 superfamily
Q5Y4W8,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
P0DL68,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P0CB20,Neogastropoda,Conidae,Conus,,
Q8I6X9,Scorpiones,Buthidae,Mesobuthus,,Scorpion calcin-like family
Q9BP71,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O3 superfamily
P81792,Araneae,Ctenidae,Phoneutria,neurotoxin,Neurotoxin 09 (Tx3-6) family
S0F1N7,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
P60514,Araneae,Theraphosidae,Psalmopoeus,,Psalmotoxin-1 family
P62903,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
S0F204,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
Q9BP58,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O3 superfamily
Q9BP59,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O3 superfamily
S4UKA9,Neogastropoda,Conidae,Conus,,I1 superfamily
P56972,Scorpiones,Scorpionidae,Pandinus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 3 subfamily"
P58924,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin S superfamily
P0DQZ1,Neogastropoda,Conidae,Conus,,
Q2I2R5,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin L superfamily
B3FIU2,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,Neurotoxin 35 family
P0DQJ1,Diptera,Asilidae,Eutolmus,,Asilidin-1 family
P0DTX7,Neogastropoda,Conidae,Californiconus,conotoxin,Conotoxin O1 superfamily
X5IWT5,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin S superfamily
P0DQT8,Scorpiones,Buthidae,Mesobuthus,antimicrobial_peptide,"Invertebrate defensin family, Type 2 subfamily"
B6DD32,Araneae,Lycosidae,Lycosa,neurotoxin,"Neurotoxin 04 (omega-agtx) family, 01 (type I omega-agtx) subfamily"
B6DD56,Araneae,Lycosidae,Lycosa,neurotoxin,"Neurotoxin 02 (plectoxin) family, 05 (U19-lycotoxin) subfamily"
B6DD31,Araneae,Lycosidae,Lycosa,neurotoxin,"Neurotoxin 04 (omega-agtx) family, 01 (type I omega-agtx) subfamily"
B6DD29,Araneae,Lycosidae,Lycosa,neurotoxin,"Neurotoxin 04 (omega-agtx) family, 01 (type I omega-agtx) subfamily"
B6DD59,Araneae,Lycosidae,Lycosa,neurotoxin,"Neurotoxin 25 family, F7 subfamily"
C7DQC0,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I2 superfamily
P0DTX6,Neogastropoda,Conidae,Californiconus,,
Q7Z090,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I1 superfamily
P0DQU1,Scorpiones,Buthidae,Mesobuthus,antimicrobial_peptide,"Invertebrate defensin family, Type 2 subfamily"
P0DQT7,Scorpiones,Buthidae,Mesobuthus,antimicrobial_peptide,"Invertebrate defensin family, Type 2 subfamily"
P0DTX8,Neogastropoda,Conidae,Californiconus,,
P0DQR5,Nectiopoda,Speleonectidae,Xibalbanus,,
Q5Y4Y4,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q5Y4Y5,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q5Y4Y3,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q9BP70,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O3 superfamily
Q9BP69,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O3 superfamily
P0DUR0,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P0DL47,Scorpiones,Euscorpiidae,Euscorpiops,scorpion_long_toxin,"Long chain scorpion toxin family, Class 3 subfamily"
Q9BP51,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
P0DN46,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin A (TA) superfamily
Q5Y4X4,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
E4VP43,Scorpiones,Buthidae,Mesobuthus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 08 subfamily"
E4VP04,Scorpiones,Buthidae,Mesobuthus,scorpion_short_toxin,"Short scorpion toxin superfamily, Potassium channel inhibitor family"
Q5Y4X6,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
D6C4K5,Neogastropoda,Conidae,Californiconus,conotoxin,Conotoxin I1 superfamily
D9U2B2,Scorpiones,Buthidae,Lychas,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 26 subfamily"
P0DN47,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin A (TA) superfamily
P0DN65,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin J (TJ) superfamily
D2Y2F2,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 36 family, 02 subfamily"
P85504,Araneae,Theraphosidae,Brachypelma,neurotoxin,"Neurotoxin 12 (Hwtx-2) family, 06 (TXP1) subfamily"
P85505,Araneae,Thomisidae,Heriaeus,neurotoxin,Neurotoxin 01 (U2-agtx) family
F1CIZ6,Scorpiones,Buthidae,Hottentotta,,Scorpion calcin-like family
P0DP47,Araneae,Hexathelidae,Hadronyche,,"Psalmotoxin-1 family, Double-knot toxin subfamily"
A0A1P8NVS8,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
B5AJT2,Hymenoptera,Eulophidae,Eulophus,metalloproteinase,Venom metalloproteinase (M12B) family
D6C4M3,Neogastropoda,Conidae,Californiconus,,
Q5Y4W4,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q5Y4X1,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q9BHA6,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
P58787,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
P0DV96,Araneae,Sparassidae,Heteropoda,neurotoxin,Neurotoxin 10 (Hwtx-1) family
Q9BP68,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O3 superfamily
P31328,Araneae,Agelenidae,Allagelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
P59368,Araneae,Ctenidae,Phoneutria,neurotoxin,"Neurotoxin 03 (Tx2) family, 05 subfamily"
P81790,Araneae,Ctenidae,Phoneutria,neurotoxin,"Neurotoxin 04 (omega-agtx) family, 03 (type II/III omega-agtx) subfamily"
P84510,Araneae,Theraphosidae,Paraphysa,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 08 (Gtx1-15) subfamily"
P0DQB1,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-13 family
P81761,Scorpiones,Buthidae,Hottentotta,scorpion_short_toxin,"Short scorpion toxin superfamily, Chloride channel inhibitor family"
W4VRU9,Araneae,Barychelidae,Trittame,neurotoxin,"Neurotoxin 13 (insecticidal toxin ABC) family, ICK-21 subfamily"
P86400,Scorpiones,Buthidae,Mesobuthus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 08 subfamily"
W4VRV7,Araneae,Barychelidae,Trittame,neurotoxin,"Neurotoxin 27 (Jztx-72) family, ICK-41 subfamily"
P50984,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P56711,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
P85079,Araneae,Lycosidae,Alopecosa,neurotoxin,Neurotoxin omega-lctx family
Q5Y4W7,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q5Y4W6,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
P69939,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 1 subfamily"
P17727,Araneae,Ctenidae,Phoneutria,neurotoxin,"Neurotoxin 04 (omega-agtx) family, 02 (Tx1) subfamily"
Q5Y4V5,Araneae,Agelenidae,Agelena,neurotoxin,"Neurotoxin 07 (Beta/delta-agtx) family, 02 (aga-3) subfamily"
B1P1E7,Araneae,Theraphosidae,Chilobrachys,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 65 (Jztx-21) subfamily"
P0C1T8,Neogastropoda,Terebridae,Terebra,,
P83905,Araneae,Ctenidae,Phoneutria,neurotoxin,"Neurotoxin 03 (Tx2) family, 05 subfamily"
P0C607,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I1 superfamily
P83244,Scorpiones,Buthidae,Orthochirus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 13 subfamily"
P83258,Araneae,Agelenidae,Pireneitega,neurotoxin,Neurotoxin 07 (Beta/delta-agtx) family
Q6B4T4,Araneae,Sicariidae,Loxosceles,neurotoxin,Neurotoxin 28 (Litx) family
P0C176,Scorpiones,Buthidae,Tityus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Epsilon-KTx 01 subfamily"
Q5Y4W9,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q5Y4X5,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
P58784,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
L0GBR1,Scorpiones,Scorpionidae,Urodacus,,Scorpion calcin family
P83746,Araneae,Theraphosidae,Theraphosa,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 58 subfamily"
D2Y2C5,Araneae,Theraphosidae,Cyriopagopus,hainantoxin,"Hainantoxin family, 17 subfamily"
P81598,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
O76201,Araneae,Ctenidae,Phoneutria,neurotoxin,Neurotoxin 02 (plectoxin) family
Q0GY46,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 1 subfamily"
P0DUS9,Lepidoptera,Limacodidae,Doratifera,,Limacoditoxin-3 family
P83557,Araneae,Macrothelidae,Macrothele,neurotoxin,"Neurotoxin 14 (magi-1) family, 09 (magi-1) subfamily"
P0C1V8,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P56215,Scorpiones,Buthidae,Androctonus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 08 subfamily"
P81793,Araneae,Ctenidae,Phoneutria,neurotoxin,"Neurotoxin 02 (plectoxin) family, 01 (Tx3) subfamily"
P82226,Araneae,Hexathelidae,Hadronyche,neurotoxin,Neurotoxin 11 (kappa toxin) family
P83901,Araneae,Ctenidae,Phoneutria,neurotoxin,Neurotoxin 09 (Tx3-6) family
P81595,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
D2Y2C7,Araneae,Theraphosidae,Cyriopagopus,hainantoxin,"Hainantoxin family, 17 subfamily"
Q5G8A6,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 1 subfamily"
P81599,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
P61510,Araneae,Theraphosidae,Aphonopelma,neurotoxin,"Neurotoxin 12 (Hwtx-2) family, 06 (TXP1) subfamily"
P83892,Araneae,Ctenidae,Phoneutria,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 53 (PNTx27C4) subfamily"
P0DUS7,Lepidoptera,Limacodidae,Doratifera,,Limacoditoxin-22 family
D2Y2C8,Araneae,Theraphosidae,Cyriopagopus,hainantoxin,"Hainantoxin family, 17 subfamily"
D2Y2C9,Araneae,Theraphosidae,Cyriopagopus,hainantoxin,"Hainantoxin family, 20 subfamily"
D2Y2D0,Araneae,Theraphosidae,Cyriopagopus,hainantoxin,"Hainantoxin family, 20 subfamily"
D2Y2D8,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 03 (Tx2) family, 02 subfamily, HNTX-XV sub-subfamily"
D2Y2D9,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 03 (Tx2) family, 02 subfamily, HNTX-XV sub-subfamily"
P0C1T6,Neogastropoda,Terebridae,Terebra,,
P84014,Araneae,Ctenidae,Phoneutria,neurotoxin,Neurotoxin 09 (Tx3-6) family
Q9BPB2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
Q967F9,Scorpiones,Buthidae,Mesobuthus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 14 subfamily"
Q5WR03,Scorpiones,Scorpionidae,Opistophthalmus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 3 subfamily"
Q4LCT2,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P0C8X6,Scorpiones,Buthidae,Tityus,scorpion_short_toxin,"Short scorpion toxin superfamily, Potassium channel inhibitor family"
P11062,Araneae,Agelenidae,Agelenopsis,neurotoxin,"Neurotoxin 07 (Beta/delta-agtx) family, 03 (aga-4) subfamily, Aga sub-subfamily"
C7DQC2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I2 superfamily
C8CK77,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
C7DQX6,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I2 superfamily
C7DQX9,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I2 superfamily
C7DQY0,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I2 superfamily
C8CK74,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
C8CK75,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
C8CK76,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
C8CK78,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
C8CK79,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
P0DQU5,Scorpiones,Buthidae,Tityus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 21 subfamily"
B6DD58,Araneae,Lycosidae,Lycosa,neurotoxin,"Neurotoxin 02 (plectoxin) family, 05 (U19-lycotoxin) subfamily"
C5J896,Scorpiones,Hemiscorpiidae,Opisthacanthus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily"
C5J894,Scorpiones,Hemiscorpiidae,Opisthacanthus,,
B6V6L0,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
Q5Y4Y1,Araneae,Agelenidae,Agelena,neurotoxin,Neurotoxin 01 (U2-agtx) family
Q9BPH9,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P0DQB0,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-13 family
P0C837,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
P0C5X7,Araneae,Theraphosidae,Chilobrachys,neurotoxin,Neurotoxin 30 (phrixotoxin) family
X1WB75,Neogastropoda,Conidae,Conasprella,conotoxin,Conotoxin A superfamily
P0DUR2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P0DUR1,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P84630,Scorpiones,Buthidae,Tityus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 13 subfamily"
P0C8X9,Scorpiones,Caraboctonidae,Hoffmannihadrurus,scorpion_short_toxin,"Short scorpion toxin superfamily, Potassium channel inhibitor family"
D2Y2B9,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 03 (Tx2) family, 02 subfamily, HNTX-XV sub-subfamily"
P81596,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
D2Y2C6,Araneae,Theraphosidae,Cyriopagopus,hainantoxin,"Hainantoxin family, 17 subfamily"
Q6B4T3,Araneae,Sicariidae,Loxosceles,neurotoxin,Neurotoxin 39 family
P11058,Araneae,Agelenidae,Agelenopsis,neurotoxin,"Neurotoxin 07 (Beta/delta-agtx) family, 01 (aga-2) subfamily"
P15968,Araneae,Agelenidae,Hololena,neurotoxin,"Neurotoxin 07 (Beta/delta-agtx) family, 02 (aga-3) subfamily"
P0C1Q9,Hymenoptera,Vespidae,Vespula,mcd_related,"MCD family, Mastoparan subfamily"
P49266,Araneae,Theraphosidae,Brachypelma,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 03 (BsTX5) subfamily"
P0C1Q6,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
P81597,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
P83747,Araneae,Theraphosidae,Theraphosa,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 59 (Tltx) subfamily"
D2Y2B6,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 03 (Tx2) family, 02 subfamily, HNTX-XV sub-subfamily"
D2Y2B7,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 03 (Tx2) family, 02 subfamily, HNTX-XV sub-subfamily"
D2Y2B8,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 03 (Tx2) family, 02 subfamily, HNTX-XV sub-subfamily"
P61509,Araneae,Theraphosidae,Aphonopelma,neurotoxin,"Neurotoxin 12 (Hwtx-2) family, 06 (TXP1) subfamily"
D2Y251,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 25 family, F7 subfamily"
Q9BP53,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
D5KR59,Neogastropoda,Conidae,Californiconus,conotoxin,Conotoxin O1 superfamily
Q2PAY4,Araneae,Theraphosidae,Chilobrachys,neurotoxin,Neurotoxin 30 (phrixotoxin) family
B3EWT9,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 02 subfamily"
P0DPX4,Scolopendromorpha,Scolopendridae,Ethmostigmus,scoloptoxin,Scoloptoxin-04 family
F1CJ67,Scorpiones,Buthidae,Hottentotta,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 23 subfamily"
F1DI80,Scorpiones,Buthidae,Mesobuthus,scorpion_short_toxin,"Short scorpion toxin superfamily, Chloride channel inhibitor family"
P0DPX7,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-05 family
P0DOZ4,Neogastropoda,Conidae,Conus,,
P0DN49,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin M (TM) superfamily
P0DN50,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin M (TM) superfamily
P0DN51,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin M (TM) superfamily
P0DMD6,Scorpiones,Buthidae,Tityus,,Natriuretic peptide family
F1CJ80,Scorpiones,Buthidae,Hottentotta,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 23 subfamily"
P0DN54,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin M (TM) superfamily
D6C4M2,Neogastropoda,Conidae,Californiconus,,
D6C4M1,Neogastropoda,Conidae,Californiconus,,
D6C4M0,Neogastropoda,Conidae,Californiconus,,
D6C4L9,Neogastropoda,Conidae,Californiconus,,
D2Y3T3,Neogastropoda,Conidae,Californiconus,,
D3JYA5,Neogastropoda,Conidae,Californiconus,,
P0DP11,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
D2Y493,Neogastropoda,Conidae,Californiconus,,
P0DOW6,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O2 superfamily
P0DQM8,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
B3EWN0,Araneae,Theraphosidae,Pterinochilus,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 34 (Jztx-26) subfamily"
P0DQM6,Neogastropoda,Conidae,Conus,,Vasopressin/oxytocin family
P0DPQ1,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
P0C2L7,Araneae,Hexathelidae,Hadronyche,neurotoxin,"Neurotoxin 08 (Shiva) family, 01 (omega toxin) subfamily"
B3A0P0,Araneae,Theraphosidae,Acanthoscurria,neurotoxin,"Neurotoxin 12 (Hwtx-2) family, 01 (Ap1a) subfamily"
P0DL85,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
D6C4K3,Neogastropoda,Conidae,Californiconus,,
P0DM71,Hymenoptera,Vespidae,Protopolybia,bradykinin_related,Bradykinin-related peptide family
P0DRC4,Neogastropoda,Conidae,Conus,,
P0DTX4,Neogastropoda,Conidae,Californiconus,conotoxin,Conotoxin O1 superfamily
P0DQN0,Neogastropoda,Conidae,Conus,,
P0C2F2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
P0DQO5,Araneae,Theraphosidae,Eucratoscelus,neurotoxin,Neurotoxin 30 (phrixotoxin) family
P0DMR8,Scorpiones,Buthidae,Mesobuthus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 17 subfamily"
D9IX98,Squamata,Elapidae,Ophiophagus,,Natriuretic peptide family
D3JWK2,Neogastropoda,Conidae,Californiconus,,
P0DQO6,Araneae,Theraphosidae,Eucratoscelus,neurotoxin,Neurotoxin 30 (phrixotoxin) family
P0DQM7,Neogastropoda,Conidae,Conus,,Vasopressin/oxytocin family
P0DN53,Neogastropoda,Terebridae,Terebra,,
P0CJ37,Hymenoptera,Vespidae,Eumenes,mcd_related,"MCD family, Eumenitin subfamily"
P0C8W2,Scorpiones,Caraboctonidae,Hoffmannihadrurus,antimicrobial_peptide,"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family"
P0CE27,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0C8W4,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 2 subfamily"
Q7Z0A2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I1 superfamily
P0CD69,Hymenoptera,Apidae,Bombus,mcd_related,"MCD family, Bombolitin subfamily"
P0CD68,Hymenoptera,Apidae,Bombus,mcd_related,"MCD family, Bombolitin subfamily"
P0CD67,Hymenoptera,Apidae,Bombus,mcd_related,"MCD family, Bombolitin subfamily"
D6C4J9,Neogastropoda,Conidae,Californiconus,conotoxin,Conotoxin T superfamily
P0CC14,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O1 superfamily
P0CE35,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0DOZ8,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
C0HKD0,Araneae,Theraphosidae,Heteroscodra,,Psalmotoxin-1 family
P0DQU9,Scorpiones,Buthidae,Buthus,disintegrin,Disintegrin-like family
P0DL73,Araneae,Theraphosidae,Paraphysa,neurotoxin,"Neurotoxin 10 (Hwtx-1) family, 08 (Gtx1-15) subfamily"
P0DL75,Araneae,Macrothelidae,Macrothele,,RTX family
P83256,Araneae,Agelenidae,Pireneitega,neurotoxin,"Neurotoxin 07 (Beta/delta-agtx) family, 02 (aga-3) subfamily"
P83288,Araneae,Oxyopidae,Oxyopes,,"Spiderine family, Spiderine subfamily"
P0CE31,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0CE32,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0CE34,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0CH16,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P0CF02,Hymenoptera,Formicidae,Dinoponera,,
P0C2L8,Araneae,Hexathelidae,Hadronyche,neurotoxin,Neurotoxin 11 (kappa toxin) family
P0C2U8,Araneae,Lycosidae,Lycosa,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 05 subfamily"
P0C2V1,Araneae,Macrothelidae,Macrothele,neurotoxin,"Neurotoxin 25 family, F7 subfamily"
P0C2V2,Araneae,Macrothelidae,Macrothele,neurotoxin,"Neurotoxin 25 family, F7 subfamily"
P0DN52,Neogastropoda,Terebridae,Terebra,teretoxin,Teretoxin M (TM) superfamily
P0DOZ9,Neogastropoda,Conidae,Conus,,
P0C6S2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin L superfamily
P0DPY6,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-10 family
P0CJ23,Neogastropoda,Conidae,Conus,,NPY family
P0CH15,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P0CI24,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P0CI22,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
P0C931,Hymenoptera,Vespidae,Eumenes,mcd_related,"MCD family, Eumenitin subfamily"
P0C642,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
P0CH47,Hymenoptera,Vespidae,Vespa,,"AB hydrolase superfamily, Lipase family"
P0CI23,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
P0CH13,Neogastropoda,Conidae,Conasprella,,
P0CJ22,Neogastropoda,Conidae,Conus,,NPY family
Q5I4E5,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I2 superfamily
P0DQQ5,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P0C351,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P0DKP6,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
B4YSU8,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin Y superfamily
C0HJW2,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 10 subfamily"
D2DGD3,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I3 superfamily
Q5Y4U6,Araneae,Agelenidae,Agelena,neurotoxin,"Neurotoxin 07 (Beta/delta-agtx) family, 04 (aga-5) subfamily"
D9U2B0,Scorpiones,Buthidae,Lychas,scorpion_short_toxin,Short scorpion toxin superfamily
D6C4I3,Neogastropoda,Conidae,Californiconus,conotoxin,Conotoxin O1 superfamily
D6C4J3,Neogastropoda,Conidae,Californiconus,,
D9U2A6,Scorpiones,Buthidae,Lychas,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 29 subfamily"
