identifier,Order,Family,Genus,Protein families,Protein names,embeddings_labels,blast_labels
D2Y237,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 17 (Hntx-9) subfamily",Omega-theraphotoxin-Hhn1a 1 (Omega-TRTX-Hhn1a) (Hainantoxin-IX-2) (HNTX-IX-2) (Peptide F1-30.82),-1,31
B3FIS6,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 51 (Hntx-8) subfamily, Hntx-8 sub-subfamily",U5-theraphotoxin-Hs1b 1 (U5-TRTX-Hs1b) (Lectin SHL-Ib1),-1,31
P83303,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily",Huwentoxin-IV (HwTx-IV) (Huwentoxin-4) (Huwentoxin-IVa) (HWTX-IVa) (Huwentoxin-IVb) (HWTX-IVb) (Huwentoxin-IVc) (HWTX-IVc) (Mu-theraphotoxin-Hs2a) (Mu-TRTX-Hs2a),-1,31
A0A0J9X1W9,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily",Mu-theraphotoxin-Hd1a (Mu-TRTX-Hd1a),-1,31
D2Y2H8,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 12 (Hntx-12) subfamily",U6-theraphotoxin-Hhn1a 4 (U6-TRTX-Hhn1a) (Hainantoxin-XII.4) (HNTX-XII.4),-1,31
D2Y2H7,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 12 (Hntx-12) subfamily",U6-theraphotoxin-Hhn1a 3 (U6-TRTX-Hhn1a) (Hainantoxin-XII.3) (HNTX-XII.3),-1,31
D2Y2H6,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 12 (Hntx-12) subfamily",U6-theraphotoxin-Hhn1a 2 (U6-TRTX-Hhn1a) (Hainantoxin-XII.2) (HNTX-XII.2),-1,31
D2Y2H4,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1l (U7-TRTX-Hhn1l) (Hainantoxin-XIII-14) (HNTX-XIII-14),-1,31
D2Y2G8,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 51 (Hntx-8) subfamily, Hntx-8 sub-subfamily",U3-theraphotoxin-Hhn1o (U3-TRTX-Hhn1o) (Hainantoxin-VIII-7) (HNTX-VIII-7),-1,31
D2Y2A1,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1a 2 (U7-TRTX-Hhn1a) (Hainantoxin-XIII.2) (HNTX-XIII.2),-1,31
D2Y235,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily",Mu-theraphotoxin-Hhn1d (Mu-TRTX-Hhn1d) (Hainantoxin-IV-3) (HNTX-IV-3),-1,31
W4VRV4,Araneae,Barychelidae,Trittame,"Neurotoxin 10 (Hwtx-1) family, 26 (ICK-1) subfamily",U8-barytoxin-Tl1a (U8-BATX-Tl1a) (Toxin ICK-1),-1,31
D2Y2F0,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 17 (Hntx-9) subfamily",Omega-theraphotoxin-Hhn1f 4 (Omega-TRTX-Hhn1f) (Hainantoxin-IX.4) (HNTX-IX.4) (Peptide F1-29.54),-1,31
B1P1F3,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 37 (Jztx-31) subfamily",Mu-theraphotoxin-Cg2a 2 (Mu-TRTX-Cg2a) (Jingzhaotoxin-31.2) (JZTX-31.2) (Jingzhaotoxin-IV) (JZTX-IV) (Peptide F1-23.73),-1,31
B1P1F8,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 40 (Jztx-35) subfamily",U20-theraphotoxin-Cg1a 2 (U20-TRTX-Cg1a) (Jingzhaotoxin-35.2) (JZTX-35.2) (Peptide F3-18.97),-1,31
B1P1F2,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 34 (Jztx-26) subfamily",U16-theraphotoxin-Cg1b (U16-TRTX-Cg1b) (Jingzhaotoxin-26) (JZTX-26),-1,31
B1P1F1,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 34 (Jztx-26) subfamily",U16-theraphotoxin-Cg1a (U16-TRTX-Cg1a) (Jingzhaotoxin-25) (JZTX-25) (Peptide F1-25.14),-1,31
B1P1F0,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 66 (Jztx-24) subfamily",U15-theraphotoxin-Cg1a (U15-TRTX-Cg1a) (Jingzhaotoxin-24) (JZTX-24) (Peptide F5-8.99),-1,31
B1P1G6,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 06 (F4b) subfamily",U2-theraphotoxin-Cg1b 1 (U2-TRTX-Cg1b) (Jingzhaotoxin-41) (JZTX-41),-1,31
P56853,Araneae,Theraphosidae,Grammostola,"Neurotoxin 10 (Hwtx-1) family, 09 (HaTx) subfamily",Kappa-theraphotoxin-Gr1b (Kappa-TRTX-Gr1b) (Hanatoxin-2) (HaTx2),-1,31
P0CH51,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 48 (Jztx-F5) subfamily",Jingzhaotoxin F5-21.66 (Peptide F5-21.66),-1,31
D2Y2B5,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1a 7 (U7-TRTX-Hhn1a) (Hainantoxin-XIII.7) (HNTX-XIII.7),-1,31
D2Y2C1,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 12 (Hntx-12) subfamily",U6-theraphotoxin-Hhn1a 1 (U6-TRTX-Hhn1a) (Hainantoxin-XII) (HNTX-XII),-1,31
P0DQN3,Araneae,Theraphosidae,Bumba,"Neurotoxin 10 (Hwtx-1) family, 54 (ProTx-1) subfamily",Beta/omega-theraphotoxin-Bp1a (Beta/omega-TRTX-Bp1a) (Protoxin-I analog) (ProTx-I analog),-1,31
D2Y2B3,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1a 5 (U7-TRTX-Hhn1a) (Hainantoxin-XIII.5) (HNTX-XIII.5),-1,31
P0DOC5,Araneae,Theraphosidae,Heteroscodra,"Neurotoxin 10 (Hwtx-1) family, 09 (HaTx) subfamily",Delta-theraphotoxin-Hm1b (Delta-TRTX-Hm1b),-1,31
P60590,Araneae,Theraphosidae,Grammostola,"Neurotoxin 10 (Hwtx-1) family, 07 (GrTx) subfamily",Omega-theraphotoxin-Gr1a (Omega-TRTX-Gr1a) (Omega-grammotoxin SIA) (Omega-GTX SIA) (Omega-GrTx SIA) (Omega-GsTx SIA),-1,31
B1P1G7,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 06 (F4b) subfamily",U2-theraphotoxin-Cg1b 2 (U2-TRTX-Cg1b) (Jingzhaotoxin-41.2) (JZTX-41.2),-1,31
B1P1H1,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1d (Kappa-TRTX-Cg1d) (Jingzhaotoxin-61) (JZTX-61),-1,31
B1P1H2,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 35 (Jztx-27) subfamily",U24-theraphotoxin-Cg1a (U24-TRTX-Cg1a) (Jingzhaotoxin-27) (JZTX-27) (Peptide F2-36.12),-1,31
B1P1G9,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 64 (Jztx-20) subfamily",U23-theraphotoxin-Cg1a 1 (U23-TRTX-Cg1a) (Jingzhaotoxin-20) (JZTX-20),-1,31
B1P1D8,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 41 (Jztx-36) subfamily",U13-theraphotoxin-Cg1b (U13-TRTX-Cg1b) (Jingzhaotoxin-37) (JZTX-37),-1,31
B1P1D3,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 32 (Jztx-16) subfamily",U11-theraphotoxin-Cg1b (U11-TRTX-Cg1b) (Jingzhaotoxin-18) (JZTX-18),-1,31
B1P1F9,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 40 (Jztx-35) subfamily",U20-theraphotoxin-Cg1a 1 (U20-TRTX-Cg1a) (Jingzhaotoxin-35) (JZTX-35) (Peptide F3-18.97),-1,31
D2Y2L7,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 17 (Hntx-9) subfamily",Omega-theraphotoxin-Hhn1a 3 (Omega-TRTX-Hhn1a) (Hainantoxin-IX-2.3) (HNTX-IX-2.3) (Peptide F1-30.82),-1,31
B1P1G4,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 05 (F4a) subfamily",U21-theraphotoxin-Cg1b (U21-TRTX-Cg1b) (Jingzhaotoxin-39) (JZTX-39) (Peptide F4-28.01),-1,31
B1P1C4,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 46 (Jztx-7/10/12) subfamily",U1-theraphotoxin-Cg1d 1 (U1-TRTX-Cg1d) (Jingzhaotoxin-12.1) (JZTX-12.1) (Peptide F4-15.91),-1,31
Q7YT39,Araneae,Theraphosidae,Grammostola,"Neurotoxin 10 (Hwtx-1) family, 52 (MTx4) subfamily",M-theraphotoxin-Gr1a (M-TRTX-Gr1a) (GsMTx-4) (GsMTx4) (MTx4) (GsMTx-IV),-1,31
P0DM13,Araneae,Theraphosidae,Pamphobeteus,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Mu-theraphotoxin-Pn3b (Mu-TRTX-Pn3b),-1,31
D2Y2A3,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1b (U7-TRTX-Hhn1b) (Hainantoxin-XIII-2) (HNTX-XIII-2),-1,31
P0DM66,Araneae,Theraphosidae,Selenotypus,"Neurotoxin 03 (Tx2) family, 01 subfamily",Orally active insecticidal peptide (Toxin OAIP 2),-1,31
P56854,Araneae,Theraphosidae,Hysterocrates,"Neurotoxin 10 (Hwtx-1) family, 56 (SNX-482) subfamily",Omega-theraphotoxin-Hg1a (Omega-TRTX-Hg1a) (Toxin SNX-482) (SNX482),-1,31
P0DQN2,Araneae,Theraphosidae,Phormingochilus,"Neurotoxin 10 (Hwtx-1) family, 54 (ProTx-1) subfamily",Beta/mu-theraphotoxin-Pe1b (Beta/mu-TRTX-Pe1b),-1,31
P0DQO0,Araneae,Theraphosidae,Poecilotheria,"Neurotoxin 10 (Hwtx-1) family, 62 (Vatx) subfamily",Mu-theraphotoxin-Pm1a (Mu-TRTX-Pm1a),-1,31
P0DQZ2,Araneae,Theraphosidae,Pterinochilus,Neurotoxin 10 (Hwtx-1) family,Mu/omega-theraphotoxin-Pmu1a (Mu/omega-TRTX-Pmu1a),-1,31
Q86C51,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 51 (Hntx-8) subfamily, Hntx-8 sub-subfamily",U5-theraphotoxin-Hs1a 1 (U5-TRTX-Hs1a) (Huwenlectin-1) (Huwenlectin-I) (SHLP-I) (SHL-I),-1,31
P0CH70,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 24 (Hwtx-6) subfamily",U1-theraphotoxin-Hhn1a (U1-TRTX-Hhn1a) (Hainantoxin F3-24.71) [Cleaved into: Hainantoxin-VI (HNTX-VI) (Peptide F6-25.12)],-1,31
P0DP95,Araneae,Theraphosidae,Orphnaecus,Neurotoxin 10 (Hwtx-1) family,Mu-theraphotoxin-Osp1a (Mu-TRTX-Osp1a),-1,31
D2Y2C3,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 18 (Hntx-VII) subfamily",U5-theraphotoxin-Hhn1a (U5-TRTX-Hhn1a) (Hainantoxin-VII) (HNTX-VII) (Peptide F4-32.71),-1,31
D2Y236,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 17 (Hntx-9) subfamily",Omega-theraphotoxin-Hhn1f 1 (Omega-TRTX-Hhn1f) (Hainantoxin-IX) (HNTX-IX) (Peptide F1-29.54),-1,31
P0DM67,Araneae,Theraphosidae,Selenotypus,"Neurotoxin 10 (Hwtx-1) family, 46 (Jztx-7/10/12) subfamily",Orally active insecticidal peptide-3 (Toxin OAIP 3),-1,31
P56855,Araneae,Theraphosidae,Stromatopelma,"Neurotoxin 10 (Hwtx-1) family, 09 (HaTx) subfamily",Kappa-theraphotoxin-Scg1a (Kappa-TRTX-Scg1a) (SGTx1) (SGTx) (SgTx-I),-1,31
D2Y203,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 15 (Hntx-3) subfamily",Mu-theraphotoxin-Hhn2g (Mu-TRTX-Hhn2g) (Hainantoxin-III-14) (HNTX-III-14),-1,31
P61104,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 17 (Hntx-9) subfamily",Omega-theraphotoxin-Hs2a (Omega-TRTX-Hs2a) (Huwentoxin-5) (Huwentoxin-V) (HwTx-V) [Cleaved into: Omega-theraphotoxin-Hs2b (Omega-TRTX-Hs2b) (Mutant of huwentoxin-5) (Mutant of huwentoxin-V) (mHWTX-V)],-1,31
D2Y2B2,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1a 4 (U7-TRTX-Hhn1a) (Hainantoxin-XIII.4) (HNTX-XIII.4),-1,31
B1P1A0,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1b (Kappa-TRTX-Cg1b) (Jingzhaotoxin-30) (JZTX-30),-1,31
B1P1G5,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 05 (F4a) subfamily",U21-theraphotoxin-Cg1c (U21-TRTX-Cg1c) (Jingzhaotoxin-40) (JZTX-40),-1,31
B1P1E4,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1c (Kappa-TRTX-Cg1c) (Jingzhaotoxin-29) (JZTX-29) (Peptide F4-13.58),-1,31
D2Y233,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily",Mu-theraphotoxin-Hhn1b 2 (Mu-TRTX-Hhn1b) (Hainantoxin-4.2) (Hainantoxin-IV.2) (HnTx-IV.2) (Peptide F8-18.88),-1,31
W4VSC0,Araneae,Barychelidae,Trittame,"Neurotoxin 10 (Hwtx-1) family, 25 (ICK4) subfamily",U11-barytoxin-Tl1a (U11-BATX-Tl1a) (Toxin ICK-4),-1,31
P0C1N6,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin tx3h (Conotoxin Tx3.1) (TxMLKM-011) [Cleaved into: Truncated conotoxin tx3h],-1,30
P58846,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin tx3c (Textile scratcher peptide) (Tx3.4),-1,30
P0C1N7,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Tx3.5-a [Cleaved into: Conotoxin tx3f (Conotoxin Tx3.5-b); Truncated conotoxin tx3f],-1,30
P0DKQ0,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin CnIIIE,-1,30
Q9BPH4,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TsMLKM-02,-1,30
Q9BPI5,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TsMMSK-B022 (Conotoxin TsMMSK-B023),-1,30
Q9BPI0,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,TxMLKM-021 (Conotoxin 2),-1,30
P56529,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Psi-conotoxin PIIIE (Psi-conotoxin P3.8),-1,30
Q9BPJ4,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TxMMSK-06,-1,30
Q9BPH3,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin ArMLKM-01,-1,30
P0CY73,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Bu15,-1,30
Q9BPI9,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin VnMMSK-01,-1,30
Q9BPI7,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin VnMMSK-03,-1,30
P58925,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin PIIIA (Mu-conotoxin P3.7),-1,30
Q9BPI6,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TsMMSK-011 (Conotoxin TsMMSK-B012),-1,30
Q2I2Q5,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Iota-conotoxin LtIIIA (Lt3.1) (Lt3a),-1,30
Q5EHP1,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Qc3.1,-1,30
Q5EHP3,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin mr3e (Mr3.4) (Mr3.7),-1,30
P0DKQ9,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin-like T3.1,-1,30
P0C1N1,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin mr3d (Conotoxin Mr3.2) (Conotoxin mr3d.1),-1,30
P0DKQ1,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin CnIIIF,-1,30
Q9BPI3,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TsMMSK-011,-1,30
A0A2I6EDL2,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin reg3k (Reg3.1) (Rg3.1),-1,30
Q9BPH6,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin VnMLKM-02,-1,30
Q9BPJ0,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TsMMSK-B021,-1,30
P58927,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin PnIVB,-1,30
Q8I6R2,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Vx2,-1,30
Q5EHP2,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Mr3.8,-1,30
H2BK78,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Vr3a (Vr3-NPPP01),-1,30
A0A3G3C7U2,Neogastropoda,Conidae,Conus,Conotoxin M family,Mu-onotoxin-like Am3.2,-1,30
F5C3T9,Neogastropoda,Conidae,Conus,"O2 superfamily, Contryphan family",Contryphan-Vi (Contryphan-R-like),-1,30
Q9BPH5,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin PnMLKM-013,-1,30
Q9BPJ3,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TxMMSK-05,-1,30
P0CH14,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Mr1e (Mr051),-1,30
Q2I2Q3,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Lt3.3 (Lt3c),-1,30
Q2I2Q4,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Lt3.2 (Lt3b),-1,30
Q86DU6,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin SIIIA,-1,30
Q9BPI8,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TsMMSK-B022,-1,30
A0A2I6EDL3,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin reg3.5 (Rg3.5),-1,30
Q9BPI4,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin TsMMSK-011 (Conotoxin TsMMSK-012),-1,30
A0A3G3C7V7,Neogastropoda,Conidae,Conus,Conotoxin M family,Mu-conotoxin-like Am3.3,-1,30
Q9BPJ8,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin ArMMSK-01,-1,30
P0C1N5,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin mr3g (Mr3.6),-1,30
D2Y232,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily",Mu-theraphotoxin-Hhn1b 1 (Mu-TRTX-Hhn1b) (Hainantoxin-4) (Hainantoxin-IV) (HnTx-IV) (Peptide F8-18.88),-1,31
Q9BPJ7,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,TxMMSK-03 (Conotoxin 3),-1,30
C1J5M7,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin BuIIIC,-1,30
D2Y234,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily",Mu-theraphotoxin-Hhn1c (Mu-TRTX-Hhn1c) (Hainantoxin-IV-2) (HNTX-IV-2),-1,31
P84837,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Pg2a (Kappa-TRTX-Pg2a) (Guangxitoxin-2) (GxTX-2),-1,31
P0C2X7,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 46 (Jztx-7/10/12) subfamily",U1-theraphotoxin-Cg1a 1 (U1-TRTX-Cg1a) (Jingzhaotoxin-7) (JZTX-7) (Jingzhaotoxin-VII) (JZTX-VII) (Peptide F5-16.20),-1,31
P83745,Araneae,Theraphosidae,Theraphosa,"Neurotoxin 10 (Hwtx-1) family, 59 (Tltx) subfamily",Kappa-theraphotoxin-Tb1a (Kappa-TRTX-Tb1a) (Theraphotoxin-1) (TlTx1),-1,31
P84509,Araneae,Theraphosidae,Ceratogyrus,"Neurotoxin 10 (Hwtx-1) family, 47 subfamily",Beta-theraphotoxin-Cm2a (Beta-TRTX-Cm2a) (Ceratotoxin-3) (CcoTx3),-1,31
P0DPC2,Araneae,Theraphosidae,Davus,"Neurotoxin 10 (Hwtx-1) family, 54 (ProTx-1) subfamily",Mu-theraphotoxin-Df1a (Mu-TRTX-Df1a),-1,31
B1P1E1,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1a 2 (Kappa-TRTX-Cg1a) (Jingzhaotoxin-11.2) (JZTX-11.2) (Jingzhaotoxin-XI.2) (JZTX-XI.2) (Peptide F4-13.64),-1,31
P0C246,Araneae,Theraphosidae,Psalmopoeus,"Neurotoxin 10 (Hwtx-1) family, 62 (Vatx) subfamily",Tau-theraphotoxin-Pc1c (Tau-TRTX-Pc1c) (Vanillotoxin-3) (VaTx3),-1,31
P0C247,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1a 1 (Kappa-TRTX-Cg1a) (Jingzhaotoxin-11) (JZTX-11) (Jingzhaotoxin-XI) (JZTX-XI) (Peptide F4-13.64),-1,31
D2Y2A8,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1g (U7-TRTX-Hhn1g) (Hainantoxin-XIII-9) (HNTX-XIII-9),-1,31
B1P1D9,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1a 6 (Kappa-TRTX-Cg1a) (Jingzhaotoxin-11.6) (JZTX-11.6) (Jingzhaotoxin-XI.6) (JZTX-XI.6) (Peptide F4-13.64),-1,31
B1P1E0,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1a 3 (Kappa-TRTX-Cg1a) (Jingzhaotoxin-11.3) (JZTX-11.3) (Jingzhaotoxin-XI.3) (JZTX-XI.3) (Peptide F4-13.64),-1,31
B1P1A4,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 46 (Jztx-7/10/12) subfamily",U1-theraphotoxin-Cg1a 2 (U1-TRTX-Cg1a) (Jingzhaotoxin-7.2) (JZTX-7.2) (Jingzhaotoxin-VII.2) (JZTX-VII.2) (Peptide F5-16.20),-1,31
B1P1E2,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1a 4 (Kappa-TRTX-Cg1a) (Jingzhaotoxin-11.4) (JZTX-11.4) (Jingzhaotoxin-XI.4) (JZTX-XI.4) (Peptide F4-13.64),-1,31
B1P1E3,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Kappa-theraphotoxin-Cg1a 5 (Kappa-TRTX-Cg1a) (Jingzhaotoxin-11.5) (JZTX-11.5) (Jingzhaotoxin-XI.5) (JZTX-XI.5) (Peptide F4-13.64),-1,31
W4VSI9,Araneae,Barychelidae,Trittame,"Neurotoxin 10 (Hwtx-1) family, 27 (ICK-3) subfamily",U10-barytoxin-Tl1a (U10-BATX-Tl1a) (Toxin ICK-3),-1,31
D2Y2A7,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1f (U7-TRTX-Hhn1f) (Hainantoxin-XIII-8) (HNTX-XIII-8),-1,31
D2Y2A6,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1e (U7-TRTX-Hhn1e) (Hainantoxin-XIII-6) (HNTX-XIII-6),-1,31
D2Y2A4,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 10 (Hwtx-1) family, 13 (Hntx-13) subfamily",U7-theraphotoxin-Hhn1c (U7-TRTX-Hhn1c) (Hainantoxin-XIII-3) (HNTX-XIII-3),-1,31
P0DUC2,Araneae,Theraphosidae,Monocentropus,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Mu/omega-theraphotoxin-Mb1b (Mu/omega-TRTX-Mb1b),-1,31
C1J5M5,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin BuIIIA,-1,30
P0DUC1,Araneae,Theraphosidae,Monocentropus,"Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily",Mu/omega-theraphotoxin-Mb1a (Mu/omega-TRTX-Mb1a),-1,31
P0DW95,Araneae,Theraphosidae,Encyocratella,"Neurotoxin 10 (Hwtx-1) family, 62 (Vatx) subfamily",Beta-theraphotoxin-Eo1a (Beta-TRTX-Eo1a),-1,31
